分数,本段人数,累计人数
716,2,2
687,161,161
686,16,177
685,22,199
684,27,226
683,27,253
682,27,280
681,30,310
680,35,345
679,31,376
678,33,409
677,38,447
676,34,481
675,37,518
674,42,560
673,57,617
672,54,671
671,43,714
670,47,761
669,59,820
668,63,883
667,73,956
666,64,1020
665,71,1091
664,71,1162
663,71,1233
662,86,1319
661,82,1401
660,88,1489
659,83,1572
658,92,1664
657,83,1747
656,89,1836
655,105,1941
654,90,2031
653,119,2150
652,108,2258
651,107,2365
650,117,2482
649,109,2591
648,132,2723
647,122,2845
646,125,2970
645,130,3100
644,119,3219
643,154,3373
642,134,3507
641,147,3654
640,138,3792
639,149,3941
638,138,4079
637,169,4248
636,169,4417
635,208,4625
634,180,4805
633,165,4970
632,190,5160
631,172,5332
630,193,5525
629,186,5711
628,199,5910
627,188,6098
626,179,6277
625,220,6497
624,225,6722
623,221,6943
622,224,7167
621,222,7389
620,246,7635
619,247,7882
618,258,8140
617,248,8388
616,235,8623
615,251,8874
614,269,9143
613,262,9405
612,255,9660
611,266,9926
610,256,10182
609,282,10464
608,287,10751
607,286,11037
606,272,11309
605,269,11578
604,310,11888
603,290,12178
602,298,12476
601,308,12784
600,310,13094
599,290,13384
598,339,13723
597,320,14043
596,349,14392
595,333,14725
594,342,15067
593,346,15413
592,386,15799
591,352,16151
590,362,16513
589,351,16864
588,374,17238
587,350,17588
586,356,17944
585,376,18320
584,374,18694
583,415,19109
582,410,19519
581,362,19881
580,381,20262
579,414,20676
578,363,21039
577,387,21426
576,419,21845
575,409,22254
574,364,22618
573,411,23029
572,436,23465
571,423,23888
570,469,24357
569,428,24785
568,419,25204
567,428,25632
566,452,26084
565,425,26509
564,426,26935
563,451,27386
562,445,27831
561,450,28281
560,500,28781
559,454,29235
558,491,29726
557,481,30207
556,457,30664
555,486,31150
554,469,31619
553,482,32101
552,516,32617
551,476,33093
550,487,33580
549,462,34042
548,486,34528
547,545,35073
546,517,35590
545,502,36092
544,502,36594
543,463,37057
542,553,37610
541,458,38068
540,512,38580
539,497,39077
538,528,39605
537,513,40118
536,549,40667
535,490,41157
534,529,41686
533,557,42243
532,501,42744
531,567,43311
530,548,43859
529,519,44378
528,548,44926
527,517,45443
526,571,46014
525,560,46574
524,547,47121
523,533,47654
522,546,48200
521,582,48782
520,558,49340
519,576,49916
518,579,50495
517,600,51095
516,597,51692
515,577,52269
514,549,52818
513,544,53362
512,542,53904
511,559,54463
510,567,55030
509,594,55624
508,606,56230
507,541,56771
506,532,57303
505,558,57861
504,574,58435
503,589,59024
502,596,59620
501,576,60196
500,593,60789
499,611,61400
498,533,61933
497,600,62533
496,547,63080
495,561,63641
494,506,64147
493,533,64680
492,561,65241
491,569,65810
490,550,66360
489,569,66929
488,583,67512
487,535,68047
486,515,68562
485,531,69093
484,588,69681
483,546,70227
482,554,70781
481,544,71325
480,563,71888
479,536,72424
478,548,72972
477,555,73527
476,509,74036
