score,count,cumulative
682,35,35
681,6,41
680,5,46
679,8,54
678,9,63
677,5,68
676,13,81
675,7,88
674,11,99
673,10,109
672,10,119
671,10,129
670,18,147
669,15,162
668,15,177
667,22,199
666,21,220
665,30,250
664,19,269
663,23,292
662,25,317
661,24,341
660,29,370
659,23,393
658,24,417
657,22,439
656,22,461
655,24,485
654,44,529
653,39,568
652,39,607
651,36,643
650,33,676
649,36,712
648,37,749
647,43,792
646,28,820
645,48,868
644,49,917
643,54,971
642,46,1017
641,47,1064
640,48,1112
639,50,1162
638,56,1218
637,70,1288
636,71,1359
635,71,1430
634,69,1499
633,79,1578
632,74,1652
631,90,1742
630,78,1820
629,68,1888
628,63,1951
627,91,2042
626,92,2134
625,78,2212
624,84,2296
623,98,2394
622,99,2493
621,97,2590
620,103,2693
619,89,2782
618,121,2903
617,120,3023
616,100,3123
615,103,3226
614,104,3330
613,121,3451
612,128,3579
611,120,3699
610,108,3807
609,132,3939
608,136,4075
607,119,4194
606,128,4322
605,126,4448
604,140,4588
603,120,4708
602,130,4838
601,128,4966
600,129,5095
599,171,5266
598,177,5443
597,163,5606
596,162,5768
595,167,5935
594,145,6080
593,160,6240
592,168,6408
591,172,6580
590,185,6765
589,185,6950
588,170,7120
587,185,7305
586,161,7466
585,180,7646
584,177,7823
583,200,8023
582,207,8230
581,185,8415
580,200,8615
579,205,8820
578,177,8997
577,206,9203
576,226,9429
575,211,9640
574,204,9844
573,247,10091
572,220,10311
571,217,10528
570,251,10779
569,235,11014
568,253,11267
567,263,11530
566,234,11764
565,225,11989
564,207,12196
563,246,12442
562,240,12682
561,244,12926
560,246,13172
559,268,13440
558,268,13708
557,258,13966
556,250,14216
555,265,14481
554,277,14758
553,268,15026
552,275,15301
551,263,15564
550,261,15825
549,289,16114
548,305,16419
547,287,16706
546,304,17010
545,291,17301
544,297,17598
543,277,17875
542,289,18164
541,299,18463
540,289,18752
539,327,19079
538,296,19375
537,315,19690
536,312,20002
535,323,20325
534,305,20630
533,320,20950
532,306,21256
531,302,21558
530,336,21894
529,335,22229
528,302,22531
527,347,22878
526,353,23231
525,333,23564
524,345,23909
523,342,24251
522,316,24567
521,363,24930
520,348,25278
519,332,25610
518,396,26006
517,386,26392
516,392,26784
515,337,27121
514,394,27515
513,359,27874
512,368,28242
511,367,28609
510,348,28957
509,371,29328
508,396,29724
507,369,30093
506,386,30479
505,372,30851
504,400,31251
503,370,31621
502,395,32016
501,389,32405
500,400,32805
499,395,33200
498,391,33591
497,393,33984
496,377,34361
495,434,34795
494,394,35189
493,404,35593
492,399,35992
491,430,36422
490,426,36848
489,381,37229
488,413,37642
487,430,38072
486,397,38469
485,437,38906
484,441,39347
483,402,39749
482,399,40148
481,441,40589
480,468,41057
479,445,41502
478,439,41941
477,465,42406
476,430,42836
475,435,43271
474,415,43686
473,448,44134
472,411,44545
471,440,44985
470,435,45420
469,462,45882
468,448,46330
467,434,46764
466,467,47231
465,457,47688
464,409,48097
463,454,48551
462,494,49045
461,483,49528
460,471,49999
459,439,50438
458,422,50860
457,481,51341
456,483,51824
455,451,52275
454,483,52758
453,440,53198
452,491,53689
451,478,54167
450,472,54639
449,482,55121
448,449,55570
447,518,56088
446,501,56589
445,473,57062
444,500,57562
443,469,58031
442,468,58499
441,510,59009
440,503,59512
439,459,59971
438,504,60475
437,487,60962
436,451,61413
435,482,61895
434,481,62376
433,510,62886
432,455,63341
431,439,63780
430,486,64266
429,500,64766
428,489,65255
427,473,65728
426,465,66193
425,456,66649
424,474,67123
423,494,67617
422,498,68115
421,445,68560
420,475,69035
419,488,69523
418,420,69943
417,485,70428
416,428,70856
415,508,71364
414,450,71814
413,438,72252
412,480,72732
411,478,73210
410,434,73644
409,443,74087
408,481,74568
407,460,75028
406,459,75487
405,485,75972
404,428,76400
403,412,76812
402,487,77299
401,444,77743
400,449,78192
399,489,78681
398,447,79128
397,443,79571
396,407,79978
395,429,80407
394,416,80823
393,463,81286
392,451,81737
391,434,82171
390,428,82599
389,468,83067
388,430,83497
387,431,83928
386,375,84303
385,410,84713
384,417,85130
383,391,85521
382,382,85903
381,422,86325
380,442,86767
379,359,87126
378,409,87535
377,415,87950
376,394,88344
375,405,88749
374,401,89150
373,381,89531
372,369,89900
371,364,90264
370,358,90622
369,351,90973
368,326,91299
367,337,91636
366,341,91977
365,346,92323
364,361,92684
363,343,93027
362,337,93364
361,332,93696
360,350,94046
359,325,94371
358,321,94692
357,349,95041
356,329,95370
355,330,95700
354,305,96005
353,319,96324
352,345,96669
351,319,96988
350,306,97294
349,321,97615
348,293,97908
347,282,98190
346,291,98481
345,293,98774
344,281,99055
343,268,99323
342,273,99596
341,311,99907
340,265,100172
339,278,100450
338,307,100757
337,265,101022
336,278,101300
335,275,101575
334,247,101822
333,273,102095
332,249,102344
331,258,102602
330,230,102832
329,245,103077
328,246,103323
327,229,103552
326,219,103771
325,247,104018
324,258,104276
323,243,104519
322,247,104766
321,203,104969
320,214,105183
319,191,105374
318,222,105596
317,175,105771
316,214,105985
315,196,106181
314,205,106386
313,199,106585
312,197,106782
311,183,106965
310,213,107178
309,186,107364
308,168,107532
307,195,107727
306,175,107902
305,182,108084
304,187,108271
303,173,108444
302,173,108617
301,178,108795
300,157,108952
299,175,109127
298,175,109302
297,158,109460
296,128,109588
295,159,109747
294,170,109917
293,132,110049
292,144,110193
291,136,110329
290,141,110470
289,146,110616
288,153,110769
287,127,110896
286,102,110998
285,133,111131
284,108,111239
283,135,111374
282,114,111488
281,106,111594
280,118,111712
279,106,111818
278,122,111940
277,116,112056
276,116,112172
275,94,112266
274,87,112353
273,102,112455
272,113,112568
271,102,112670
270,109,112779
269,92,112871
268,87,112958
267,91,113049
266,78,113127
265,73,113200
264,80,113280
263,70,113350
262,77,113427
261,71,113498
260,52,113550
259,75,113625
258,64,113689
257,62,113751
256,52,113803
255,64,113867
254,59,113926
253,44,113970
252,48,114018
251,74,114092
250,63,114155
249,45,114200
248,64,114264
247,44,114308
246,53,114361
245,44,114405
244,53,114458
243,54,114512
242,27,114539
241,33,114572
240,36,114608
239,30,114638
238,42,114680
237,48,114728
236,34,114762
235,27,114789
234,32,114821
233,35,114856
232,23,114879
231,30,114909
230,28,114937
229,33,114970
228,24,114994
227,20,115014
226,17,115031
225,23,115054
224,24,115078
223,17,115095
222,23,115118
221,20,115138
220,18,115156
219,15,115171
218,10,115181
217,12,115193
216,19,115212
215,14,115226
214,18,115244
213,8,115252
212,15,115267
211,8,115275
210,12,115287
209,13,115300
208,8,115308
207,12,115320
206,16,115336
205,4,115340
204,15,115355
203,9,115364
202,8,115372
201,5,115377
200,6,115383
199,8,115391
198,7,115398
197,3,115401
196,4,115405
195,6,115411
194,0,115411
193,5,115416
192,5,115421
191,1,115422
190,9,115431
189,6,115437
188,5,115442
187,4,115446
186,9,115455
185,4,115459
184,2,115461
183,2,115463
182,2,115465
181,2,115467
180,2,115469
179,1,115470
178,3,115473
177,1,115474
176,2,115476
175,1,115477
174,3,115480
173,3,115483
172,3,115486
171,1,115487
170,3,115490
169,2,115492
168,2,115494
167,3,115497
166,3,115500
165,1,115501
164,1,115502
163,3,115505
162,1,115506
161,3,115509
160,0,115509
159,2,115511
158,0,115511
157,1,115512
156,0,115512
155,0,115512
154,1,115513
153,1,115514
152,0,115514
151,1,115515
150,1,115516
149,0,115516
148,0,115516
147,2,115518
146,2,115520
145,0,115520
144,0,115520
143,0,115520
142,2,115522
141,0,115522
140,0,115522
139,0,115522
138,0,115522
137,0,115522
136,0,115522
135,0,115522
134,0,115522
133,0,115522
132,0,115522
131,0,115522
130,0,115522
129,2,115524
128,0,115524
127,0,115524
126,1,115525
125,2,115527
124,0,115527
123,1,115528
122,0,115528
121,0,115528
120,2,115530
119,1,115531
118,0,115531
117,0,115531
116,0,115531
115,0,115531
114,0,115531
113,0,115531
112,0,115531
111,0,115531
110,0,115531
109,1,115532
108,1,115533
107,0,115533
106,0,115533
105,0,115533
104,0,115533
103,0,115533
102,1,115534
101,0,115534
100,0,115534
99,0,115534
98,0,115534
97,0,115534
96,1,115535
95,0,115535
94,0,115535
93,0,115535
92,1,115536
91,0,115536
90,0,115536
89,0,115536
88,0,115536
87,0,115536
86,1,115537
85,1,115538
84,2,115540
83,0,115540
82,1,115541
81,0,115541
80,0,115541
79,0,115541
78,0,115541
77,2,115543
76,1,115544
75,0,115544
74,0,115544
73,0,115544
72,1,115545
71,0,115545
70,0,115545
69,0,115545
68,0,115545
67,0,115545
66,1,115546
65,0,115546
64,0,115546
63,1,115547
62,1,115548
61,0,115548
60,0,115548
59,0,115548
58,0,115548
57,0,115548
56,0,115548
55,0,115548
54,0,115548
53,0,115548
52,0,115548
51,0,115548
50,0,115548
49,0,115548
48,0,115548
47,1,115549
46,0,115549
45,0,115549
44,0,115549
43,0,115549
42,1,115550
41,0,115550
40,0,115550
39,0,115550
38,0,115550
37,0,115550
36,0,115550
35,0,115550
34,0,115550
33,0,115550
32,0,115550
31,0,115550
30,0,115550
29,0,115550
28,0,115550
27,1,115551
26,0,115551
25,0,115551
24,0,115551
23,1,115552
22,0,115552
21,0,115552
20,0,115552
19,0,115552
18,0,115552
17,0,115552
16,0,115552
15,0,115552
14,0,115552
13,0,115552
12,0,115552
11,1,115553
10,0,115553
9,0,115553
8,0,115553
7,1,115554
6,0,115554
5,0,115554
4,0,115554
3,0,115554
2,0,115554
1,0,115554
0,566,116120
