分数,本段人数,累计人数
695,31,31
694,10,41
693,6,47
692,9,56
691,6,62
690,11,73
689,12,85
688,15,100
687,14,114
686,12,126
685,12,138
684,15,153
683,15,168
682,28,196
681,14,210
680,35,245
679,27,272
678,23,295
677,44,339
676,38,377
675,51,428
674,52,480
673,51,531
672,59,590
671,44,634
670,60,694
669,65,759
668,64,823
667,78,901
666,81,982
665,74,1056
664,85,1141
663,87,1228
662,96,1324
661,105,1429
660,116,1545
659,112,1657
658,99,1756
657,118,1874
656,125,1999
655,138,2137
654,131,2268
653,142,2410
652,145,2555
651,146,2701
650,151,2852
649,162,3014
648,162,3176
647,193,3369
646,205,3574
645,203,3777
644,205,3982
643,211,4193
642,233,4426
641,251,4677
640,271,4948
639,249,5197
638,257,5454
637,262,5716
636,244,5960
635,257,6217
634,265,6482
633,275,6757
632,305,7062
631,293,7355
630,313,7668
629,320,7988
628,325,8313
627,362,8675
626,379,9054
625,352,9406
624,357,9763
623,380,10143
622,388,10531
621,408,10939
620,412,11351
619,456,11807
618,424,12231
617,450,12681
616,475,13156
615,508,13664
614,497,14161
613,524,14685
612,529,15214
611,509,15723
610,539,16262
609,558,16820
608,532,17352
607,557,17909
606,543,18452
605,604,19056
604,607,19663
603,613,20276
602,641,20917
601,597,21514
600,702,22216
599,639,22855
598,667,23522
597,648,24170
596,716,24886
595,714,25600
594,729,26329
593,756,27085
592,776,27861
591,782,28643
590,749,29392
589,773,30165
588,829,30994
587,820,31814
586,854,32668
585,819,33487
584,818,34305
583,871,35176
582,919,36095
581,888,36983
580,906,37889
579,947,38836
578,909,39745
577,945,40690
576,1030,41720
575,1006,42726
574,988,43714
573,1007,44721
572,1006,45727
571,971,46698
570,1038,47736
569,1015,48751
568,1034,49785
567,1044,50829
566,1094,51923
565,1104,53027
564,1107,54134
563,1161,55295
562,1126,56421
561,1122,57543
560,1212,58755
559,1209,59964
558,1205,61169
557,1201,62370
556,1184,63554
555,1228,64782
554,1242,66024
553,1277,67301
552,1266,68567
551,1325,69892
550,1293,71185
549,1261,72446
548,1279,73725
547,1281,75006
546,1339,76345
545,1353,77698
544,1331,79029
543,1347,80376
542,1383,81759
541,1369,83128
540,1371,84499
539,1392,85891
538,1452,87343
537,1482,88825
536,1523,90348
535,1489,91837
534,1529,93366
533,1570,94936
532,1502,96438
531,1512,97950
530,1530,99480
529,1596,101076
528,1529,102605
527,1559,104164
526,1526,105690
525,1500,107190
524,1535,108725
523,1572,110297
522,1615,111912
521,1519,113431
520,1635,115066
519,1620,116686
518,1594,118280
517,1587,119867
516,1623,121490
515,1572,123062
514,1642,124704
513,1626,126330
512,1658,127988
511,1647,129635
510,1694,131329
509,1683,133012
508,1697,134709
507,1769,136478
506,1713,138191
505,1783,139974
504,1765,141739
503,1660,143399
502,1707,145106
501,1758,146864
500,1797,148661
499,1818,150479
498,1775,152254
497,1741,153995
496,1780,155775
495,1722,157497
494,1726,159223
493,1841,161064
492,1722,162786
491,1803,164589
490,1823,166412
489,1726,168138
488,1844,169982
487,1868,171850
486,1781,173631
485,1851,175482
484,1907,177389
483,1862,179251
482,1765,181016
481,1775,182791
480,1794,184585
479,1897,186482
478,1785,188267
477,1901,190168
476,1840,192008
475,1858,193866
474,1828,195694
473,1864,197558
472,1851,199409
471,1836,201245
470,1749,202994
469,1838,204832
468,1869,206701
467,1815,208516
466,1982,210498
465,1834,212332
464,1794,214126
463,1817,215943
462,1840,217783
461,1889,219672
460,1790,221462
459,1843,223305
458,1809,225114
457,1864,226978
456,1782,228760
455,1875,230635
454,1765,232400
453,1740,234140
452,1824,235964
451,1772,237736
450,1800,239536
449,1795,241331
448,1860,243191
447,1806,244997
446,1805,246802
445,1822,248624
444,1754,250378
443,1735,252113
442,1682,253795
441,1768,255563
440,1787,257350
439,1728,259078
438,1703,260781
437,1704,262485
436,1735,264220
435,1726,265946
434,1677,267623
433,1641,269264
432,1680,270944
431,1639,272583
430,1611,274194
429,1639,275833
428,1633,277466
427,1544,279010
426,1622,280632
425,1612,282244
424,1570,283814
423,1637,285451
422,1646,287097
421,1635,288732
420,1560,290292
419,1556,291848
418,1583,293431
417,1559,294990
416,1507,296497
415,1520,298017
414,1471,299488
413,1503,300991
412,1479,302470
411,1467,303937
410,1438,305375
409,1506,306881
408,1500,308381
407,1361,309742
406,1403,311145
405,1416,312561
404,1427,313988
403,1399,315387
402,1427,316814
401,1396,318210
400,1412,319622
399,1466,321088
398,1348,322436
397,1369,323805
396,1355,325160
395,1322,326482
394,1289,327771
393,1269,329040
392,1264,330304
391,1203,331507
390,1255,332762
389,1206,333968
388,1262,335230
387,1286,336516
386,1296,337812
385,1187,338999
384,1214,340213
383,1209,341422
382,1168,342590
381,1200,343790
380,1142,344932
379,1092,346024
378,1135,347159
377,1142,348301
376,1093,349394
375,1121,350515
374,1113,351628
373,1092,352720
372,1077,353797
371,1082,354879
370,1095,355974
369,1117,357091
368,1050,358141
367,1072,359213
366,1015,360228
365,1029,361257
364,1033,362290
363,1034,363324
362,975,364299
361,1092,365391
360,940,366331
359,994,367325
358,1013,368338
357,983,369321
356,974,370295
355,929,371224
354,975,372199
353,974,373173
352,943,374116
351,955,375071
350,886,375957
349,986,376943
348,895,377838
347,922,378760
346,865,379625
345,902,380527
344,874,381401
343,854,382255
342,830,383085
341,876,383961
340,839,384800
339,805,385605
338,866,386471
337,850,387321
336,882,388203
335,817,389020
334,865,389885
333,773,390658
332,793,391451
331,812,392263
330,815,393078
329,821,393899
328,781,394680
327,764,395444
326,790,396234
325,814,397048
324,754,397802
323,723,398525
322,769,399294
321,770,400064
320,760,400824
319,717,401541
318,717,402258
317,718,402976
316,733,403709
315,691,404400
314,668,405068
313,677,405745
312,664,406409
311,706,407115
310,656,407771
309,662,408433
308,683,409116
307,691,409807
306,643,410450
305,644,411094
304,640,411734
303,673,412407
302,660,413067
301,594,413661
300,607,414268
299,623,414891
298,592,415483
297,652,416135
296,624,416759
295,614,417373
294,550,417923
293,597,418520
292,573,419093
291,542,419635
290,581,420216
289,580,420796
288,559,421355
287,570,421925
286,505,422430
285,549,422979
284,603,423582
283,531,424113
282,536,424649
281,578,425227
280,538,425765
279,546,426311
278,541,426852
277,494,427346
276,524,427870
275,488,428358
274,493,428851
273,500,429351
272,515,429866
271,457,430323
270,442,430765
269,472,431237
268,465,431702
267,456,432158
266,449,432607
265,446,433053
264,459,433512
263,404,433916
262,430,434346
261,463,434809
260,413,435222
259,412,435634
258,430,436064
257,414,436478
256,414,436892
255,385,437277
254,374,437651
253,372,438023
252,420,438443
251,370,438813
250,359,439172
249,351,439523
248,351,439874
247,334,440208
246,361,440569
245,307,440876
244,294,441170
243,325,441495
242,279,441774
241,309,442083
240,285,442368
239,239,442607
238,283,442890
237,300,443190
236,261,443451
235,259,443710
234,242,443952
233,251,444203
232,222,444425
231,211,444636
230,213,444849
229,230,445079
228,218,445297
227,178,445475
226,185,445660
225,199,445859
224,174,446033
223,186,446219
222,179,446398
221,137,446535
220,155,446690
219,170,446860
218,123,446983
217,144,447127
216,133,447260
215,145,447405
214,126,447531
213,114,447645
212,119,447764
211,106,447870
210,115,447985
