分数,本段人数,累计人数
686,6,26
685,3,29
684,5,34
683,7,41
682,10,51
681,6,57
680,7,64
679,9,73
678,11,84
677,11,95
676,8,103
675,12,115
674,15,130
673,9,139
672,22,161
671,16,177
670,20,197
669,17,214
668,20,234
667,13,247
666,21,268
665,21,289
664,22,311
663,32,343
662,21,364
661,31,395
660,38,433
659,36,469
658,34,503
657,28,531
656,33,564
655,41,605
654,47,652
653,51,703
652,48,751
651,42,793
650,60,853
649,44,897
648,49,946
647,57,1003
646,56,1059
645,79,1138
644,49,1187
643,58,1245
642,67,1312
641,69,1381
640,62,1443
639,70,1513
638,83,1596
637,86,1682
636,98,1780
635,109,1889
634,83,1972
633,99,2071
632,108,2179
631,99,2278
630,101,2379
629,111,2490
628,122,2612
627,118,2730
626,115,2845
625,123,2968
624,113,3081
623,138,3219
622,145,3364
621,145,3509
620,151,3660
619,152,3812
618,142,3954
617,157,4111
616,155,4266
615,155,4421
614,169,4590
613,203,4793
612,160,4953
611,182,5135
610,191,5326
609,200,5526
608,210,5736
607,195,5931
606,222,6153
605,220,6373
604,200,6573
603,229,6802
602,246,7048
601,232,7280
600,242,7522
599,228,7750
598,239,7989
597,250,8239
596,244,8483
595,271,8754
594,255,9009
593,260,9269
592,262,9531
591,293,9824
590,285,10109
589,278,10387
588,293,10680
587,305,10985
586,316,11301
585,342,11643
584,306,11949
583,301,12250
582,321,12571
581,337,12908
580,327,13235
579,387,13622
578,376,13998
577,343,14341
576,355,14696
575,381,15077
574,396,15473
573,350,15823
572,366,16189
571,376,16565
570,425,16990
569,395,17385
568,390,17775
567,406,18181
566,422,18603
565,460,19063
564,399,19462
563,436,19898
562,426,20324
561,469,20793
560,448,21241
559,422,21663
558,421,22084
557,449,22533
556,484,23017
555,507,23524
554,459,23983
553,476,24459
552,486,24945
551,480,25425
550,489,25914
549,484,26398
548,499,26897
547,537,27434
546,539,27973
545,528,28501
544,514,29015
543,533,29548
542,542,30090
541,559,30649
540,523,31172
539,618,31790
538,584,32374
537,569,32943
536,541,33484
535,538,34022
534,528,34550
533,549,35099
532,628,35727
531,598,36325
530,587,36912
529,610,37522
528,580,38102
527,598,38700
526,598,39298
525,558,39856
524,637,40493
523,605,41098
522,592,41690
521,600,42290
