分数,本段人数,累计人数
689,31,31
688,9,40
687,6,46
686,5,51
685,5,56
684,7,63
683,7,70
682,7,77
681,15,92
680,21,113
679,15,128
678,11,139
677,16,155
676,21,176
675,17,193
674,17,210
673,18,228
672,28,256
671,35,291
670,22,313
669,28,341
668,29,370
667,26,396
666,37,433
665,44,477
664,40,517
663,46,563
662,40,603
661,57,660
660,60,720
659,64,784
658,69,853
657,75,928
656,72,1000
655,63,1063
654,79,1142
653,81,1223
652,112,1335
651,87,1422
650,96,1518
649,88,1606
648,100,1706
647,111,1817
646,112,1929
645,130,2059
644,133,2192
643,142,2334
642,139,2473
641,149,2622
640,156,2778
639,174,2952
638,144,3096
637,167,3263
636,169,3432
635,196,3628
634,195,3823
633,194,4017
632,203,4220
631,231,4451
630,254,4705
629,191,4896
628,268,5164
627,245,5409
626,248,5657
625,254,5911
624,279,6190
623,287,6477
622,289,6766
621,302,7068
620,320,7388
619,325,7713
618,358,8071
617,338,8409
616,341,8750
615,396,9146
614,369,9515
613,393,9908
612,400,10308
611,407,10715
610,425,11140
609,425,11565
608,435,12000
607,449,12449
606,449,12898
605,487,13385
604,451,13836
603,498,14334
602,532,14866
601,521,15387
600,563,15950
599,503,16453
598,519,16972
597,589,17561
596,550,18111
595,552,18663
594,615,19278
593,615,19893
592,618,20511
591,636,21147
590,625,21772
589,661,22433
588,622,23055
587,652,23707
586,653,24360
585,681,25041
584,680,25721
583,719,26440
582,743,27183
581,718,27901
580,794,28695
579,761,29456
578,801,30257
577,823,31080
576,770,31850
575,823,32673
574,803,33476
573,776,34252
572,857,35109
571,815,35924
570,824,36748
569,869,37617
568,873,38490
567,942,39432
566,938,40370
565,921,41291
564,920,42211
563,918,43129
562,878,44007
561,962,44969
560,926,45895
559,916,46811
558,972,47783
557,1007,48790
556,1001,49791
555,1017,50808
554,1068,51876
553,1077,52953
552,1036,53989
551,1056,55045
550,1035,56080
549,1070,57150
548,1086,58236
547,1152,59388
546,1061,60449
545,1118,61567
544,1183,62750
543,1159,63909
542,1165,65074
541,1100,66174
540,1203,67377
539,1196,68573
538,1188,69761
537,1225,70986
536,1218,72204
535,1230,73434
534,1193,74627
533,1240,75867
532,1264,77131
531,1298,78429
530,1240,79669
529,1273,80942
528,1305,82247
527,1319,83566
526,1354,84920
525,1389,86309
524,1334,87643
523,1324,88967
522,1415,90382
521,1315,91697
520,1358,93055
519,1232,94287
518,1393,95680
517,1365,97045
516,1454,98499
515,1473,99972
514,1467,101439
513,1486,102925
512,1473,104398
511,1495,105893
510,1441,107334
509,1527,108861
508,1468,110329
507,1555,111884
506,1558,113442
505,1459,114901
504,1544,116445
503,1527,117972
502,1577,119549
501,1552,121101
500,1523,122624
499,1651,124275
498,1638,125913
497,1521,127434
496,1601,129035
495,1587,130622
494,1569,132191
493,1552,133743
492,1674,135417
491,1577,136994
490,1654,138648
489,1591,140239
488,1583,141822
487,1617,143439
486,1614,145053
485,1656,146709
484,1616,148325
483,1596,149921
482,1660,151581
481,1706,153287
480,1642,154929
479,1580,156509
478,1587,158096
477,1655,159751
476,1665,161416
475,1648,163064
474,1628,164692
473,1657,166349
472,1678,168027
471,1727,169754
470,1751,171505
469,1620,173125
468,1613,174738
467,1668,176406
466,1676,178082
465,1649,179731
464,1614,181345
463,1679,183024
462,1642,184666
461,1570,186236
460,1559,187795
459,1574,189369
458,1602,190971
457,1593,192564
456,1638,194202
455,1633,195835
454,1595,197430
453,1646,199076
452,1622,200698
451,1593,202291
450,1642,203933
449,1554,205487
448,1579,207066
447,1597,208663
446,1598,210261
445,1579,211840
444,1600,213440
443,1521,214961
442,1591,216552
441,1499,218051
440,1592,219643
439,1514,221157
438,1547,222704
437,1557,224261
436,1480,225741
435,1503,227244
434,1513,228757
433,1502,230259
432,1570,231829
431,1480,233309
430,1507,234816
429,1437,236253
428,1471,237724
427,1478,239202
426,1547,240749
425,1501,242250
424,1480,243730
423,1502,245232
422,1488,246720
421,1465,248185
420,1442,249627
419,1399,251026
418,1415,252441
417,1382,253823
416,1443,255266
415,1443,256709
414,1394,258103
413,1415,259518
412,1404,260922
411,1378,262300
410,1351,263651
409,1374,265025
408,1352,266377
407,1340,267717
406,1322,269039
405,1364,270403
404,1360,271763
403,1314,273077
402,1340,274417
401,1331,275748
400,1328,277076
399,1243,278319
398,1286,279605
397,1268,280873
396,1208,282081
395,1251,283332
394,1296,284628
393,1220,285848
392,1245,287093
391,1175,288268
390,1261,289529
389,1186,290715
388,1204,291919
387,1185,293104
386,1145,294249
385,1187,295436
384,1220,296656
383,1137,297793
382,1177,298970
381,1167,300137
380,1153,301290
379,1100,302390
378,1108,303498
377,1090,304588
376,1084,305672
375,1051,306723
374,1071,307794
373,1072,308866
372,1032,309898
371,1058,310956
370,1043,311999
369,1097,313096
368,1055,314151
367,1030,315181
366,930,316111
365,982,317093
364,986,318079
363,925,319004
362,1013,320017
361,915,320932
360,917,321849
359,874,322723
358,935,323658
357,939,324597
356,938,325535
355,877,326412
354,885,327297
353,861,328158
352,806,328964
351,873,329837
350,843,330680
349,841,331521
348,797,332318
347,823,333141
346,773,333914
345,770,334684
344,811,335495
343,742,336237
342,774,337011
341,773,337784
340,691,338475
339,752,339227
338,700,339927
337,724,340651
336,688,341339
335,709,342048
334,688,342736
333,671,343407
332,690,344097
331,633,344730
330,672,345402
329,620,346022
328,589,346611
327,642,347253
326,626,347879
325,594,348473
324,596,349069
323,633,349702
322,600,350302
321,567,350869
320,554,351423
319,543,351966
318,587,352553
317,549,353102
316,580,353682
315,567,354249
314,564,354813
313,542,355355
312,506,355861
311,485,356346
