分数,本段人数,累计人数
691,113,113
690,12,125
689,14,139
688,8,147
687,10,157
686,15,172
685,17,189
684,16,205
683,18,223
682,28,251
681,17,268
680,22,290
679,29,319
678,29,348
677,33,381
676,22,403
675,20,423
674,25,448
673,22,470
672,28,498
671,28,526
670,29,555
669,20,575
668,35,610
667,41,651
666,48,699
665,34,733
664,33,766
663,42,808
662,38,846
661,34,880
660,41,921
659,44,965
658,57,1022
657,37,1059
656,58,1117
655,63,1180
654,54,1234
653,57,1291
652,50,1341
651,62,1403
650,53,1456
649,57,1513
648,67,1580
647,72,1652
646,65,1717
645,61,1778
644,60,1838
643,65,1903
642,70,1973
641,82,2055
640,84,2139
639,64,2203
638,70,2273
637,53,2326
636,76,2402
635,80,2482
634,83,2565
633,80,2645
632,79,2724
631,69,2793
630,99,2892
629,86,2978
628,103,3081
627,90,3171
626,93,3264
625,111,3375
624,106,3481
623,100,3581
622,108,3689
621,103,3792
620,103,3895
619,120,4015
618,114,4129
617,109,4238
616,125,4363
615,116,4479
614,122,4601
613,116,4717
612,112,4829
611,110,4939
610,112,5051
609,119,5170
608,118,5288
607,140,5428
606,118,5546
605,136,5682
604,136,5818
603,120,5938
602,132,6070
601,136,6206
600,156,6362
599,134,6496
598,140,6636
597,123,6759
596,126,6885
595,154,7039
594,142,7181
593,140,7321
592,155,7476
591,149,7625
590,146,7771
589,172,7943
588,152,8095
587,155,8250
586,149,8399
585,185,8584
584,143,8727
583,162,8889
582,157,9046
581,160,9206
580,164,9370
579,180,9550
578,136,9686
577,186,9872
576,155,10027
575,163,10190
574,159,10349
573,179,10528
572,211,10739
571,190,10929
570,191,11120
569,171,11291
568,177,11468
567,198,11666
566,194,11860
565,173,12033
564,183,12216
563,198,12414
562,186,12600
561,195,12795
560,160,12955
559,208,13163
558,203,13366
557,193,13559
556,191,13750
555,201,13951
554,210,14161
553,193,14354
552,196,14550
551,200,14750
550,176,14926
549,199,15125
548,218,15343
547,189,15532
546,217,15749
545,217,15966
544,188,16154
543,197,16351
542,227,16578
541,185,16763
540,220,16983
539,213,17196
538,220,17416
537,225,17641
536,217,17858
535,225,18083
534,227,18310
533,203,18513
532,196,18709
531,222,18931
530,208,19139
529,214,19353
528,228,19581
527,223,19804
526,224,20028
525,223,20251
524,213,20464
523,241,20705
522,241,20946
521,231,21177
520,245,21422
519,223,21645
518,241,21886
517,265,22151
516,244,22395
515,261,22656
514,233,22889
513,251,23140
512,238,23378
511,236,23614
510,250,23864
509,258,24122
508,271,24393
507,272,24665
506,271,24936
505,256,25192
504,242,25434
503,248,25682
502,238,25920
501,252,26172
500,266,26438
499,245,26683
498,284,26967
497,257,27224
496,278,27502
495,289,27791
494,279,28070
493,247,28317
492,290,28607
491,272,28879
490,260,29139
489,277,29416
488,258,29674
487,281,29955
486,267,30222
485,269,30491
484,282,30773
483,298,31071
482,271,31342
481,256,31598
480,271,31869
479,279,32148
478,268,32416
477,283,32699
476,296,32995
475,280,33275
474,264,33539
473,278,33817
472,259,34076
471,241,34317
470,272,34589
469,284,34873
468,294,35167
467,264,35431
466,277,35708
465,255,35963
464,304,36267
463,278,36545
462,273,36818
461,277,37095
460,283,37378
459,275,37653
458,282,37935
457,308,38243
456,262,38505
455,282,38787
454,286,39073
453,281,39354
452,264,39618
451,271,39889
450,277,40166
449,262,40428
448,309,40737
447,314,41051
446,306,41357
445,287,41644
444,301,41945
443,286,42231
442,285,42516
441,306,42822
440,280,43102
439,271,43373
438,269,43642
437,309,43951
436,285,44236
435,262,44498
434,287,44785
433,273,45058
432,291,45349
431,310,45659
430,260,45919
429,293,46212
428,293,46505
427,307,46812
426,286,47098
425,297,47395
424,342,47737
423,281,48018
422,303,48321
421,282,48603
420,273,48876
419,304,49180
418,288,49468
417,287,49755
416,311,50066
415,280,50346
414,287,50633
413,280,50913
412,298,51211
411,291,51502
410,304,51806
409,319,52125
408,296,52421
407,293,52714
406,283,52997
405,278,53275
404,279,53554
403,281,53835
402,266,54101
401,309,54410
400,310,54720
399,287,55007
398,286,55293
397,317,55610
396,252,55862
395,299,56161
394,278,56439
393,285,56724
392,308,57032
391,265,57297
390,262,57559
389,275,57834
388,272,58106
387,276,58382
386,262,58644
385,266,58910
384,282,59192
383,264,59456
382,279,59735
381,259,59994
380,272,60266
379,262,60528
378,260,60788
377,261,61049
376,257,61306
375,251,61557
374,257,61814
373,255,62069
372,275,62344
371,250,62594
370,287,62881
369,236,63117
368,232,63349
367,284,63633
366,239,63872
365,271,64143
364,268,64411
363,260,64671
362,267,64938
361,250,65188
360,222,65410
359,263,65673
358,271,65944
357,220,66164
356,239,66403
355,256,66659
354,211,66870
353,234,67104
352,238,67342
351,230,67572
350,233,67805
349,248,68053
348,242,68295
347,206,68501
346,210,68711
345,220,68931
344,213,69144
343,224,69368
342,189,69557
341,216,69773
340,207,69980
339,218,70198
338,248,70446
337,182,70628
336,220,70848
335,206,71054
334,195,71249
333,205,71454
332,208,71662
331,208,71870
330,193,72063
329,198,72261
328,186,72447
327,194,72641
326,202,72843
325,199,73042
324,192,73234
323,168,73402
322,181,73583
321,185,73768
320,158,73926
319,159,74085
318,174,74259
317,203,74462
316,161,74623
315,154,74777
314,177,74954
313,165,75119
312,172,75291
311,160,75451
310,164,75615
309,147,75762
308,164,75926
307,160,76086
306,167,76253
305,143,76396
304,146,76542
303,165,76707
302,145,76852
301,145,76997
300,144,77141
299,131,77272
298,122,77394
297,136,77530
296,141,77671
295,118,77789
294,116,77905
293,112,78017
292,123,78140
291,130,78270
290,120,78390
289,122,78512
288,119,78631
287,117,78748
286,94,78842
285,113,78955
284,125,79080
283,104,79184
282,109,79293
281,93,79386
280,90,79476
279,106,79582
278,89,79671
277,93,79764
276,91,79855
275,88,79943
274,104,80047
273,66,80113
272,79,80192
271,81,80273
270,81,80354
269,77,80431
268,77,80508
267,78,80586
266,82,80668
265,57,80725
264,78,80803
263,68,80871
262,66,80937
261,72,81009
260,67,81076
259,65,81141
258,64,81205
257,62,81267
256,76,81343
255,57,81400
254,54,81454
253,51,81505
252,47,81552
251,51,81603
250,44,81647
249,62,81709
248,53,81762
247,53,81815
246,41,81856
245,49,81905
244,39,81944
243,31,81975
242,40,82015
241,44,82059
240,38,82097
239,32,82129
238,34,82163
237,46,82209
236,29,82238
235,36,82274
234,36,82310
233,30,82340
232,26,82366
231,37,82403
230,27,82430
229,20,82450
228,18,82468
227,35,82503
226,34,82537
225,24,82561
224,23,82584
223,25,82609
222,25,82634
221,19,82653
220,18,82671
219,18,82689
218,37,82726
217,17,82743
216,21,82764
215,15,82779
214,20,82799
213,17,82816
212,19,82835
211,18,82853
210,15,82868
209,13,82881
208,14,82895
207,26,82921
206,7,82928
205,12,82940
204,17,82957
203,11,82968
202,9,82977
201,12,82989
200,8,82997
199,11,83008
198,8,83016
197,10,83026
196,12,83038
195,7,83045
194,9,83054
193,8,83062
192,9,83071
191,6,83077
190,11,83088
189,9,83097
188,2,83099
187,7,83106
186,3,83109
185,5,83114
184,3,83117
183,3,83120
182,4,83124
181,10,83134
180,6,83140
179,6,83146
178,0,83146
177,4,83150
176,2,83152
175,4,83156
174,5,83161
173,2,83163
172,1,83164
171,5,83169
170,2,83171
169,6,83177
168,6,83183
167,5,83188
166,1,83189
165,0,83189
164,2,83191
163,2,83193
162,5,83198
161,2,83200
160,1,83201
159,6,83207
158,2,83209
157,3,83212
156,2,83214
155,0,83214
154,1,83215
153,4,83219
152,2,83221
151,2,83223
150,3,83226
149,1,83227
148,0,83227
147,2,83229
146,1,83230
145,1,83231
144,2,83233
143,0,83233
142,0,83233
141,3,83236
140,0,83236
139,0,83236
138,0,83236
137,0,83236
136,0,83236
135,1,83237
134,0,83237
133,1,83238
132,0,83238
131,1,83239
130,1,83240
129,0,83240
128,2,83242
127,1,83243
126,4,83247
125,1,83248
124,1,83249
123,0,83249
122,0,83249
121,2,83251
120,0,83251
119,0,83251
118,1,83252
117,0,83252
116,0,83252
115,0,83252
114,1,83253
113,0,83253
112,1,83254
111,1,83255
110,0,83255
109,0,83255
108,1,83256
107,1,83257
106,0,83257
105,0,83257
104,0,83257
103,2,83259
102,1,83260
101,0,83260
100,1,83261
99,0,83261
98,0,83261
97,1,83262
96,0,83262
95,0,83262
94,1,83263
93,0,83263
92,0,83263
91,0,83263
90,1,83264
89,1,83265
88,1,83266
87,2,83268
86,0,83268
85,0,83268
84,0,83268
83,0,83268
82,0,83268
81,0,83268
80,0,83268
79,0,83268
78,0,83268
77,0,83268
76,1,83269
75,0,83269
74,0,83269
73,2,83271
72,0,83271
71,0,83271
70,1,83272
69,0,83272
68,0,83272
67,3,83275
66,3,83278
65,2,83280
64,0,83280
63,1,83281
62,0,83281
61,1,83282
60,2,83284
59,1,83285
58,0,83285
57,0,83285
56,0,83285
55,0,83285
54,2,83287
53,1,83288
52,1,83289
51,0,83289
50,0,83289
49,1,83290
48,0,83290
47,1,83291
46,1,83292
45,1,83293
44,0,83293
43,0,83293
42,1,83294
41,0,83294
40,0,83294
39,0,83294
38,0,83294
37,0,83294
36,0,83294
35,0,83294
34,0,83294
33,1,83295
32,0,83295
31,1,83296
30,0,83296
29,0,83296
28,1,83297
27,0,83297
26,0,83297
25,1,83298
24,0,83298
23,1,83299
22,0,83299
21,0,83299
20,0,83299
19,0,83299
18,1,83300
17,0,83300
16,0,83300
15,0,83300
14,1,83301
13,1,83302
12,0,83302
11,0,83302
10,4,83306
9,1,83307
8,0,83307
7,0,83307
6,0,83307
5,0,83307
4,0,83307
3,1,83308
2,0,83308
1,0,83308
0,0,83308
