分数,本段人数,累计人数
715,1,1
713,1,2
712,1,3
711,3,6
710,2,8
709,1,9
708,2,11
706,1,12
705,6,18
704,3,21
703,6,27
702,4,31
701,5,36
700,6,42
699,9,51
698,12,63
697,14,77
696,8,85
695,9,94
694,16,110
693,21,131
692,21,152
691,14,166
690,30,196
689,32,228
688,30,258
687,33,291
686,25,316
685,53,369
684,35,404
683,42,446
682,57,503
681,57,560
680,58,618
679,53,671
678,70,741
677,78,819
676,75,894
675,72,966
674,81,1047
673,87,1134
672,116,1250
671,85,1335
670,106,1441
669,122,1563
668,106,1669
667,117,1786
666,129,1915
665,131,2046
664,122,2168
663,130,2298
662,158,2456
661,160,2616
660,156,2772
659,166,2938
658,192,3130
657,182,3312
656,173,3485
655,180,3665
654,194,3859
653,213,4072
652,242,4314
651,214,4528
650,231,4759
649,229,4988
648,223,5211
647,233,5444
646,261,5705
645,271,5976
644,264,6240
643,290,6530
642,284,6814
641,295,7109
640,303,7412
639,272,7684
638,313,7997
637,320,8317
636,315,8632
635,338,8970
634,346,9316
633,356,9672
632,352,10024
631,389,10413
630,363,10776
629,429,11205
628,385,11590
627,372,11962
626,432,12394
625,431,12825
624,420,13245
623,457,13702
622,462,14164
621,468,14632
620,458,15090
619,472,15562
618,465,16027
617,524,16551
616,513,17064
615,499,17563
614,550,18113
613,512,18625
612,568,19193
611,573,19766
610,555,20321
609,506,20827
608,556,21383
607,573,21956
606,567,22523
605,590,23113
604,595,23708
603,615,24323
602,641,24964
601,637,25601
600,639,26240
599,643,26883
598,643,27526
597,722,28248
596,681,28929
595,667,29596
594,726,30322
593,680,31002
592,691,31693
591,777,32470
590,775,33245
589,746,33991
588,799,34790
587,747,35537
586,801,36338
585,750,37088
584,823,37911
583,808,38719
582,785,39504
581,863,40367
580,827,41194
579,860,42054
578,887,42941
577,869,43810
576,873,44683
575,896,45579
574,926,46505
573,946,47451
572,886,48337
571,894,49231
570,890,50121
569,914,51035
568,965,52000
567,970,52970
566,959,53929
565,960,54889
564,1012,55901
563,1008,56909
562,1003,57912
561,1006,58918
560,1067,59985
559,1015,61000
558,1014,62014
557,980,62994
556,1026,64020
555,1038,65058
554,1089,66147
553,1063,67210
552,1109,68319
551,1089,69408
550,1165,70573
549,1172,71745
548,1116,72861
547,1176,74037
546,1099,75136
545,1211,76347
544,1121,77468
543,1156,78624
542,1137,79761
541,1256,81017
540,1139,82156
539,1198,83354
538,1256,84610
537,1196,85806
536,1197,87003
535,1278,88281
534,1245,89526
533,1213,90739
532,1278,92017
531,1298,93315
530,1313,94628
529,1216,95844
528,1362,97206
527,1258,98464
526,1349,99813
525,1282,101095
524,1325,102420
523,1348,103768
522,1403,105171
521,1339,106510
520,1320,107830
519,1369,109199
518,1344,110543
517,1357,111900
516,1361,113261
515,1349,114610
514,1362,115972
513,1365,117337
512,1404,118741
511,1401,120142
510,1332,121474
509,1407,122881
508,1414,124295
507,1433,125728
506,1431,127159
505,1464,128623
504,1420,130043
503,1443,131486
502,1465,132951
501,1428,134379
500,1479,135858
499,1411,137269
498,1572,138841
497,1476,140317
496,1469,141786
495,1503,143289
494,1435,144724
493,1435,146159
492,1439,147598
491,1482,149080
490,1377,150457
489,1434,151891
488,1445,153336
487,1496,154832
486,1418,156250
485,1406,157656
484,1404,159060
483,1474,160534
482,1451,161985
481,1484,163469
480,1389,164858
479,1488,166346
478,1378,167724
477,1373,169097
476,1442,170539
475,1410,171949
474,1473,173422
473,1410,174832
472,1421,176253
471,1470,177723
470,1419,179142
469,1439,180581
468,1440,182021
467,1350,183371
466,1285,184656
465,1404,186060
464,1334,187394
463,1416,188810
462,1284,190094
461,1356,191450
460,1316,192766
459,1321,194087
458,1283,195370
457,1255,196625
456,1296,197921
455,1256,199177
454,1283,200460
453,1248,201708
452,1339,203047
451,1270,204317
450,1184,205501
449,1273,206774
448,1224,207998
447,1186,209184
446,1210,210394
445,1167,211561
444,1217,212778
443,1185,213963
442,1142,215105
441,1102,216207
440,1093,217300
439,1128,218428
438,1045,219473
437,1120,220593
436,1124,221717
435,1016,222733
434,1061,223794
433,1042,224836
432,1062,225898
431,1015,226913
430,993,227906
429,982,228888
428,1001,229889
427,930,230819
426,958,231777
425,964,232741
424,942,233683
423,960,234643
422,851,235494
421,901,236395
420,852,237247
419,882,238129
418,838,238967
417,880,239847
416,863,240710
415,884,241594
414,869,242463
413,850,243313
412,809,244122
411,765,244887
410,756,245643
409,752,246395
408,779,247174
407,731,247905
406,771,248676
