score,count,cumulative,source
652,3,3,gankaosheng.com/line/5e559683.html
651,3,6,gankaosheng.com/line/5e559683.html
650,9,15,gankaosheng.com/line/5e559683.html
649,8,23,gankaosheng.com/line/5e559683.html
648,7,30,gankaosheng.com/line/5e559683.html
647,5,35,gankaosheng.com/line/5e559683.html
646,4,39,gankaosheng.com/line/5e559683.html
645,21,60,gankaosheng.com/line/5e559683.html
644,3,63,gankaosheng.com/line/5e559683.html
643,8,71,gankaosheng.com/line/5e559683.html
642,4,75,gankaosheng.com/line/5e559683.html
641,3,78,gankaosheng.com/line/5e559683.html
640,6,84,gankaosheng.com/line/5e559683.html
639,4,88,gankaosheng.com/line/5e559683.html
638,7,95,gankaosheng.com/line/5e559683.html
637,8,103,gankaosheng.com/line/5e559683.html
636,2,105,gankaosheng.com/line/5e559683.html
635,6,111,gankaosheng.com/line/5e559683.html
634,3,114,gankaosheng.com/line/5e559683.html
633,6,120,gankaosheng.com/line/5e559683.html
632,4,124,gankaosheng.com/line/5e559683.html
631,4,128,gankaosheng.com/line/5e559683.html
630,7,135,gankaosheng.com/line/5e559683.html
629,4,139,gankaosheng.com/line/5e559683.html
628,6,145,gankaosheng.com/line/5e559683.html
627,12,157,gankaosheng.com/line/5e559683.html
626,8,165,gankaosheng.com/line/5e559683.html
625,10,175,gankaosheng.com/line/5e559683.html
624,20,195,gankaosheng.com/line/5e559683.html
623,10,205,gankaosheng.com/line/5e559683.html
622,9,214,gankaosheng.com/line/5e559683.html
621,9,223,gankaosheng.com/line/5e559683.html
620,10,233,gankaosheng.com/line/5e559683.html
619,8,241,gankaosheng.com/line/5e559683.html
618,11,252,gankaosheng.com/line/5e559683.html
617,10,262,gankaosheng.com/line/5e559683.html
616,15,277,gankaosheng.com/line/5e559683.html
615,20,297,gankaosheng.com/line/5e559683.html
614,14,311,gankaosheng.com/line/5e559683.html
613,16,327,gankaosheng.com/line/5e559683.html
612,22,349,gankaosheng.com/line/5e559683.html
611,14,363,gankaosheng.com/line/5e559683.html
610,6,369,gankaosheng.com/line/5e559683.html
609,8,377,gankaosheng.com/line/5e559683.html
608,20,397,gankaosheng.com/line/5e559683.html
607,18,415,gankaosheng.com/line/5e559683.html
606,34,449,gankaosheng.com/line/5e559683.html
605,17,466,gankaosheng.com/line/5e559683.html
604,21,487,gankaosheng.com/line/5e559683.html
603,14,501,gankaosheng.com/line/5e559683.html
602,22,523,gankaosheng.com/line/5e559683.html
601,14,537,gankaosheng.com/line/5e559683.html
600,23,560,gankaosheng.com/line/5e559683.html
599,11,571,gankaosheng.com/line/5e559683.html
