分数,本段人数,累计人数
900以上,3,3
895,1,4
888,1,5
882,1,6
878,2,8
870,1,9
867,1,10
865,1,11
862,1,12
860,1,13
858,1,14
856,1,15
854,1,16
852,1,17
851,1,18
849,1,19
848,2,21
845,1,22
844,1,23
843,1,24
842,3,27
838,1,28
837,1,29
836,1,30
835,1,31
834,2,33
833,1,34
832,1,35
831,1,36
830,2,38
829,2,40
827,2,42
826,3,45
824,2,47
823,1,48
822,2,50
821,1,51
820,2,53
819,2,55
818,2,57
817,2,59
816,2,61
815,2,63
814,2,65
813,2,67
812,4,71
811,1,72
810,3,75
809,2,77
808,3,80
807,2,82
806,4,86
805,2,88
804,3,91
803,4,95
802,2,97
801,3,100
800,4,104
799,3,107
798,4,111
797,4,115
796,6,121
795,2,123
794,5,128
793,3,131
792,5,136
791,5,141
790,3,144
789,5,149
788,4,153
787,7,160
786,4,164
785,4,168
784,5,173
783,5,178
782,6,184
781,8,192
780,4,196
779,6,202
778,8,210
777,4,214
776,7,221
775,8,229
774,6,235
773,9,244
772,7,251
771,8,259
770,7,266
769,9,275
768,9,284
767,10,294
766,6,300
765,11,311
764,8,319
763,13,332
762,6,338
761,11,349
760,10,359
759,10,369
758,9,378
757,12,390
756,11,401
755,12,413
754,19,432
753,8,440
752,11,451
751,18,469
750,9,478
749,17,495
748,15,510
747,11,521
746,15,536
745,13,549
744,17,566
743,13,579
742,20,599
741,13,612
740,14,626
739,23,649
738,17,666
737,21,687
736,15,702
735,23,725
734,12,737
733,24,761
732,19,780
731,20,800
730,22,822
729,18,840
728,25,865
727,22,887
726,27,914
725,21,935
724,22,957
723,28,985
722,26,1011
721,27,1038
720,29,1067
719,37,1104
718,22,1126
717,33,1159
716,22,1181
715,26,1207
714,39,1246
713,25,1271
712,33,1304
711,32,1336
710,39,1375
709,26,1401
708,41,1442
707,29,1471
706,36,1507
705,42,1549
704,43,1592
703,26,1618
702,45,1663
701,33,1696
700,41,1737
699,40,1777
698,44,1821
697,43,1864
696,49,1913
695,52,1965
694,35,2000
693,52,2052
692,41,2093
691,52,2145
690,48,2193
689,50,2243
688,51,2294
687,50,2344
686,62,2406
685,58,2464
684,53,2517
683,50,2567
682,57,2624
681,67,2691
680,53,2744
679,61,2805
678,66,2871
677,53,2924
676,77,3001
675,54,3055
674,81,3136
673,59,3195
672,66,3261
671,63,3324
670,72,3396
669,72,3468
668,71,3539
667,77,3616
666,75,3691
665,73,3764
664,81,3845
663,75,3920
662,76,3996
661,84,4080
660,92,4172
659,84,4256
658,74,4330
657,91,4421
656,89,4510
655,83,4593
654,120,4713
653,68,4781
652,103,4884
651,90,4974
650,98,5072
649,96,5168
648,111,5279
647,91,5370
646,119,5489
645,121,5610
644,91,5701
643,92,5793
642,112,5905
641,114,6019
640,108,6127
639,104,6231
638,137,6368
637,130,6498
636,88,6586
635,140,6726
634,104,6830
633,135,6965
632,134,7099
631,129,7228
630,101,7329
629,157,7486
628,137,7623
627,112,7735
626,145,7880
625,128,8008
624,155,8163
623,132,8295
622,141,8436
621,135,8571
620,146,8717
619,151,8868
618,154,9022
617,137,9159
616,155,9314
615,153,9467
