score,count,cumulative
647,36,36
646,7,43
645,3,46
644,7,53
643,5,58
642,10,68
641,6,74
640,3,77
639,3,80
638,4,84
637,6,90
636,7,97
635,10,107
634,7,114
633,2,116
632,9,125
631,4,129
630,14,143
629,14,157
628,14,171
627,8,179
626,5,184
625,15,199
624,12,211
623,10,221
622,14,235
621,17,252
620,8,260
619,16,276
618,18,294
617,18,312
616,20,332
615,22,354
614,16,370
613,20,390
612,19,409
611,14,423
610,18,441
609,22,463
608,15,478
607,27,505
606,16,521
605,17,538
604,20,558
603,21,579
602,24,603
601,25,628
600,17,645
599,23,668
598,25,693
597,22,715
596,35,750
595,25,775
594,24,799
593,21,820
592,34,854
591,29,883
590,22,905
589,42,947
588,31,978
587,37,1015
586,34,1049
585,32,1081
584,33,1114
583,41,1155
582,41,1196
581,44,1240
580,38,1278
579,39,1317
578,43,1360
577,44,1404
576,44,1448
575,39,1487
574,41,1528
573,41,1569
572,48,1617
571,44,1661
570,48,1709
569,47,1756
568,43,1799
567,60,1859
566,63,1922
565,56,1978
564,51,2029
563,61,2090
562,50,2140
561,60,2200
560,52,2252
559,57,2309
558,65,2374
557,68,2442
556,57,2499
555,55,2554
554,71,2625
553,69,2694
552,60,2754
551,67,2821
550,71,2892
549,74,2966
548,66,3032
547,64,3096
546,73,3169
545,77,3246
544,85,3331
543,79,3410
542,91,3501
541,83,3584
540,80,3664
539,99,3763
538,92,3855
537,91,3946
536,92,4038
535,82,4120
534,97,4217
533,92,4309
532,90,4399
531,89,4488
530,90,4578
529,124,4702
528,92,4794
527,120,4914
526,111,5025
525,107,5132
524,100,5232
523,120,5352
522,117,5469
521,107,5576
520,105,5681
519,113,5794
518,106,5900
517,126,6026
516,109,6135
515,102,6237
514,121,6358
513,136,6494
512,128,6622
511,148,6770
510,143,6913
509,128,7041
508,136,7177
507,134,7311
506,138,7449
505,133,7582
504,143,7725
503,129,7854
502,156,8010
501,150,8160
499,155,8446
498,136,8582
497,144,8726
496,140,8866
495,164,9030
494,141,9171
493,140,9311
492,131,9442
491,135,9577
490,157,9734
489,155,9889
488,162,10051
487,149,10200
486,160,10360
485,159,10519
484,159,10678
483,176,10854
482,174,11028
481,187,11215
480,188,11403
479,193,11596
478,169,11765
477,183,11948
476,195,12143
475,183,12326
474,167,12493
473,178,12671
472,165,12836
471,162,12998
470,159,13157
469,218,13375
468,193,13568
467,194,13762
466,207,13969
465,195,14164
464,194,14358
463,191,14549
462,221,14770
461,197,14967
460,188,15155
459,205,15360
458,185,15545
457,197,15742
456,199,15941
455,192,16133
454,238,16371
453,204,16575
452,223,16798
451,217,17015
450,206,17221
449,191,17412
448,222,17634
447,189,17823
446,190,18013
445,209,18222
444,201,18423
443,209,18632
442,219,18851
441,207,19058
440,230,19288
439,209,19497
438,197,19694
437,202,19896
436,220,20116
435,211,20327
434,210,20537
433,222,20759
432,202,20961
431,212,21173
430,214,21387
429,218,21605
428,211,21816
427,198,22014
426,231,22245
425,187,22432
424,217,22649
423,201,22850
422,201,23051
421,225,23276
420,210,23486
419,230,23716
418,230,23946
417,242,24188
416,184,24372
415,236,24608
414,221,24829
413,218,25047
411,212,25494
410,193,25687
409,227,25914
408,236,26150
407,239,26389
406,210,26599
405,208,26807
404,224,27031
403,220,27251
402,234,27485
401,218,27703
400,215,27918
399,236,28154
398,238,28392
397,225,28617
396,233,28850
395,227,29077
394,210,29287
393,227,29514
392,247,29761
391,212,29973
390,229,30202
389,248,30450
388,219,30669
387,189,30858
386,201,31059
385,229,31288
384,238,31526
383,227,31753
382,253,32006
381,212,32218
380,218,32436
379,232,32668
378,243,32911
377,211,33122
376,220,33342
375,233,33575
374,214,33789
373,276,34065
372,238,34303
371,250,34553
370,246,34799
369,206,35005
368,258,35263
367,219,35482
366,252,35734
365,245,35979
364,233,36212
363,232,36444
362,226,36670
361,260,36930
360,268,37198
359,243,37441
358,234,37675
357,200,37875
356,243,38118
355,205,38323
354,199,38522
353,260,38782
352,227,39009
351,227,39236
350,262,39498
349,257,39755
348,229,39984
347,227,40211
346,244,40455
345,218,40673
344,231,40904
343,244,41148
342,228,41376
341,231,41607
340,223,41830
339,277,42107
338,256,42363
337,233,42596
336,225,42821
335,206,43027
334,207,43234
333,227,43461
332,246,43707
331,239,43946
330,219,44165
329,243,44408
328,204,44612
327,240,44852
326,195,45047
325,227,45274
324,204,45478
323,231,45709
322,203,45912
321,222,46134
320,188,46322
319,234,46556
318,194,46750
317,208,46958
316,185,47143
315,191,47334
314,229,47563
313,181,47744
312,189,47933
311,158,48091
310,202,48293
309,194,48487
308,170,48657
307,182,48839
306,167,49006
305,185,49191
304,160,49351
303,172,49523
302,177,49700
301,171,49871
300,149,50020
299,176,50196
298,159,50355
297,149,50504
296,138,50642
295,144,50786
294,144,50930
293,136,51066
292,133,51199
291,146,51345
290,127,51472
289,139,51611
288,124,51735
287,122,51857
286,127,51984
285,124,52108
284,140,52248
283,123,52371
282,129,52500
