分数,本段人数,累计人数
686,12,12
685,0,12
684,1,13
683,1,14
682,5,19
681,4,23
680,2,25
679,2,27
678,2,29
677,5,34
676,2,36
675,5,41
674,7,48
673,13,61
672,6,67
671,10,77
670,11,88
669,9,97
668,11,108
667,13,121
666,12,133
665,9,142
664,13,155
663,16,171
662,17,188
661,7,195
660,15,210
659,17,227
658,15,242
657,18,260
656,25,285
655,24,309
654,24,333
653,28,361
652,31,392
651,30,422
650,28,450
649,32,482
648,36,518
647,31,549
646,29,578
645,36,614
644,46,660
643,60,720
642,54,774
641,47,821
640,53,874
639,62,936
638,55,991
637,56,1047
636,65,1112
635,68,1180
634,60,1240
633,73,1313
632,69,1382
631,93,1475
630,72,1547
629,87,1634
628,97,1731
627,102,1833
626,90,1923
625,109,2032
624,126,2158
623,110,2268
622,107,2375
621,125,2500
620,108,2608
619,146,2754
618,147,2901
617,129,3030
616,155,3185
615,152,3337
614,143,3480
613,165,3645
612,173,3818
611,154,3972
610,169,4141
609,212,4353
608,189,4542
607,183,4725
606,191,4916
605,189,5105
604,206,5311
603,189,5500
602,207,5707
601,222,5929
600,249,6178
599,232,6410
598,254,6664
597,268,6932
596,258,7190
595,246,7436
594,269,7705
593,273,7978
592,304,8282
591,303,8585
590,318,8903
589,284,9187
588,301,9488
587,328,9816
586,324,10140
585,348,10488
584,337,10825
583,356,11181
582,380,11561
581,366,11927
580,392,12319
579,373,12692
578,403,13095
577,384,13479
576,417,13896
575,393,14289
574,386,14675
573,402,15077
572,397,15474
571,415,15889
570,444,16333
569,458,16791
568,443,17234
567,447,17681
566,489,18170
565,480,18650
564,494,19144
563,473,19617
562,498,20115
561,504,20619
560,504,21123
559,513,21636
558,529,22165
557,470,22635
556,488,23123
555,578,23701
554,536,24237
553,516,24753
552,584,25337
551,596,25933
550,580,26513
549,563,27076
548,567,27643
547,589,28232
546,580,28812
545,631,29443
544,599,30042
543,615,30657
542,579,31236
541,631,31867
540,605,32472
539,612,33084
538,637,33721
537,670,34391
536,684,35075
535,661,35736
534,674,36410
533,703,37113
532,647,37760
531,728,38488
530,719,39207
529,743,39950
528,713,40663
527,717,41380
526,706,42086
525,735,42821
524,717,43538
523,744,44282
522,800,45082
521,796,45878
520,713,46591
519,725,47316
518,779,48095
517,758,48853
516,780,49633
515,814,50447
514,858,51305
513,769,52074
512,758,52832
511,756,53588
510,832,54420
509,775,55195
508,822,56017
507,829,56846
506,816,57662
505,822,58484
504,838,59322
503,866,60188
502,876,61064
501,831,61895
500,848,62743
499,880,63623
498,850,64473
497,859,65332
496,889,66221
495,910,67131
494,910,68041
493,946,68987
492,891,69878
491,935,70813
490,897,71710
489,924,72634
488,918,73552
487,959,74511
486,961,75472
485,1023,76495
484,939,77434
483,960,78394
482,959,79353
481,981,80334
480,946,81280
479,949,82229
478,919,83148
477,990,84138
476,959,85097
475,1046,86143
474,976,87119
473,1058,88177
472,1047,89224
471,950,90174
470,985,91159
469,1039,92198
468,1048,93246
467,1027,94273
466,1010,95283
465,1097,96380
464,1019,97399
463,1033,98432
462,1069,99501
461,1066,100567
460,1080,101647
459,1089,102736
458,1071,103807
457,1128,104935
456,1115,106050
455,1123,107173
454,1032,108205
453,1100,109305
452,1074,110379
451,1094,111473
450,1071,112544
449,1106,113650
448,1134,114784
447,1129,115913
446,1099,117012
445,1144,118156
444,1133,119289
