最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
661,661,24,24,江西,历史类,2025,750,3+1+2
660,660,25,25,江西,历史类,2025,750,3+1+2
650,650,76,76,江西,历史类,2025,750,3+1+2
640,640,208,208,江西,历史类,2025,750,3+1+2
630,630,413,413,江西,历史类,2025,750,3+1+2
620,620,814,814,江西,历史类,2025,750,3+1+2
610,610,1364,1364,江西,历史类,2025,750,3+1+2
600,600,2199,2199,江西,历史类,2025,750,3+1+2
590,590,3390,3390,江西,历史类,2025,750,3+1+2
580,580,4925,4925,江西,历史类,2025,750,3+1+2
570,570,6948,6948,江西,历史类,2025,750,3+1+2
560,560,9527,9527,江西,历史类,2025,750,3+1+2
550,550,12708,12708,江西,历史类,2025,750,3+1+2
540,540,16489,16489,江西,历史类,2025,750,3+1+2
539,539,16877,16877,江西,历史类,2025,750,3+1+2
530,530,20979,20979,江西,历史类,2025,750,3+1+2
520,520,26151,26151,江西,历史类,2025,750,3+1+2
510,510,31884,31884,江西,历史类,2025,750,3+1+2
500,500,38305,38305,江西,历史类,2025,750,3+1+2
490,490,44921,44921,江西,历史类,2025,750,3+1+2
486,486,47572,47572,江西,历史类,2025,750,3+1+2
480,480,51614,51614,江西,历史类,2025,750,3+1+2
470,470,58426,58426,江西,历史类,2025,750,3+1+2
460,460,64957,64957,江西,历史类,2025,750,3+1+2
450,450,71381,71381,江西,历史类,2025,750,3+1+2
440,440,77622,77622,江西,历史类,2025,750,3+1+2
430,430,83986,83986,江西,历史类,2025,750,3+1+2
420,420,90490,90490,江西,历史类,2025,750,3+1+2
410,410,97130,97130,江西,历史类,2025,750,3+1+2
400,400,103991,103991,江西,历史类,2025,750,3+1+2
390,390,111031,111031,江西,历史类,2025,750,3+1+2
380,380,118346,118346,江西,历史类,2025,750,3+1+2
370,370,125812,125812,江西,历史类,2025,750,3+1+2
360,360,133408,133408,江西,历史类,2025,750,3+1+2
350,350,140861,140861,江西,历史类,2025,750,3+1+2
340,340,147958,147958,江西,历史类,2025,750,3+1+2
330,330,154675,154675,江西,历史类,2025,750,3+1+2
320,320,160995,160995,江西,历史类,2025,750,3+1+2
310,310,166994,166994,江西,历史类,2025,750,3+1+2
300,300,172423,172423,江西,历史类,2025,750,3+1+2
290,290,177218,177218,江西,历史类,2025,750,3+1+2
280,280,181658,181658,江西,历史类,2025,750,3+1+2
270,270,185535,185535,江西,历史类,2025,750,3+1+2
260,260,189139,189139,江西,历史类,2025,750,3+1+2
250,250,192306,192306,江西,历史类,2025,750,3+1+2
240,240,195190,195190,江西,历史类,2025,750,3+1+2
230,230,197535,197535,江西,历史类,2025,750,3+1+2
220,220,199590,199590,江西,历史类,2025,750,3+1+2
210,210,201223,201223,江西,历史类,2025,750,3+1+2
200,200,202487,202487,江西,历史类,2025,750,3+1+2
190,190,203442,203442,江西,历史类,2025,750,3+1+2
180,180,204200,204200,江西,历史类,2025,750,3+1+2
170,170,204724,204724,江西,历史类,2025,750,3+1+2
160,160,205125,205125,江西,历史类,2025,750,3+1+2
150,150,205444,205444,江西,历史类,2025,750,3+1+2
140,140,205672,205672,江西,历史类,2025,750,3+1+2
130,130,205827,205827,江西,历史类,2025,750,3+1+2
120,120,205917,205917,江西,历史类,2025,750,3+1+2
110,110,205996,205996,江西,历史类,2025,750,3+1+2
100,100,206055,206055,江西,历史类,2025,750,3+1+2
