分数,本段人数,累计人数
675,3,12
674,3,15
673,1,16
672,3,19
671,1,20
670,3,23
668,4,27
667,4,31
666,3,34
665,4,38
664,3,41
663,4,45
662,6,51
661,5,56
660,4,60
659,10,70
658,6,76
657,5,81
656,4,85
655,7,92
654,6,98
653,5,103
652,5,108
651,11,119
650,15,134
649,7,141
648,11,152
647,8,160
646,17,177
645,12,189
644,10,199
643,18,217
642,11,228
641,26,254
640,16,270
639,22,292
638,20,312
637,18,330
636,12,342
635,28,370
634,27,397
633,34,431
632,15,446
631,34,480
630,30,510
629,29,539
628,24,563
627,22,585
626,28,613
625,30,643
624,31,674
623,19,693
622,30,723
621,31,754
620,39,793
619,27,820
618,39,859
617,35,894
616,29,923
615,40,963
614,43,1006
613,22,1028
612,29,1057
611,45,1102
610,37,1139
609,43,1182
608,37,1219
607,38,1257
606,46,1303
605,50,1353
604,39,1392
603,42,1434
602,52,1486
601,44,1530
600,40,1570
599,42,1612
598,57,1669
597,48,1717
596,39,1756
595,58,1814
594,54,1868
593,46,1914
592,52,1966
591,51,2017
590,51,2068
589,47,2115
588,50,2165
587,60,2225
586,62,2287
585,66,2353
584,61,2414
583,56,2470
582,61,2531
581,57,2588
580,58,2646
579,67,2713
578,57,2770
577,57,2827
576,63,2890
575,51,2941
574,66,3007
573,54,3061
572,58,3119
571,79,3198
570,69,3267
569,92,3359
568,53,3412
567,73,3485
566,73,3558
565,69,3627
564,78,3705
563,72,3777
562,78,3855
561,83,3938
560,80,4018
559,69,4087
558,88,4175
557,98,4273
556,82,4355
555,86,4441
554,74,4515
553,69,4584
552,74,4658
551,83,4741
550,82,4823
549,88,4911
548,91,5002
547,90,5092
546,80,5172
545,72,5244
544,86,5330
543,76,5406
542,92,5498
541,84,5582
540,84,5666
539,96,5762
538,108,5870
537,93,5963
536,82,6045
535,89,6134
534,92,6226
533,84,6310
532,122,6432
531,96,6528
530,94,6622
529,95,6717
528,84,6801
527,103,6904
526,108,7012
525,105,7117
524,97,7214
523,98,7312
522,78,7390
521,110,7500
520,117,7617
519,125,7742
518,104,7846
517,84,7930
516,120,8050
515,106,8156
514,114,8270
513,127,8397
512,131,8528
511,110,8638
510,115,8753
509,104,8857
508,114,8971
507,125,9096
506,120,9216
505,110,9326
504,125,9451
503,103,9554
502,109,9663
501,121,9784
500,102,9886
499,115,10001
498,129,10130
497,93,10223
496,98,10321
495,113,10434
494,120,10554
493,101,10655
492,139,10794
491,123,10917
490,121,11038
489,119,11157
488,150,11307
487,135,11442
486,115,11557
485,126,11683
484,124,11807
483,136,11943
482,121,12064
481,147,12211
480,126,12337
479,120,12457
478,113,12570
477,113,12683
476,115,12798
475,135,12933
474,105,13038
473,135,13173
472,138,13311
471,127,13438
470,113,13551
469,127,13678
468,139,13817
467,129,13946
466,139,14085
465,126,14211
464,127,14338
463,130,14468
462,134,14602
461,131,14733
460,134,14867
459,142,15009
458,122,15131
457,133,15264
456,114,15378
455,148,15526
454,144,15670
453,122,15792
452,146,15938
451,135,16073
450,132,16205
449,128,16333
448,138,16471
447,146,16617
446,128,16745
445,149,16894
444,133,17027
443,135,17162
442,147,17309
441,137,17446
440,130,17576
439,128,17704
438,148,17852
437,140,17992
436,143,18135
435,146,18281
434,146,18427
433,129,18556
432,111,18667
431,131,18798
430,145,18943
429,139,19082
428,157,19239
427,126,19365
426,148,19513
425,151,19664
424,114,19778
423,127,19905
422,114,20019
421,139,20158
420,139,20297
419,146,20443
418,127,20570
417,137,20707
416,128,20835
415,132,20967
414,120,21087
413,135,21222
412,126,21348
411,120,21468
410,125,21593
409,123,21716
408,132,21848
407,98,21946
406,121,22067
405,121,22188
404,117,22305
403,115,22420
402,142,22562
401,113,22675
400,132,22807
399,117,22924
398,110,23034
397,115,23149
396,128,23277
395,115,23392
394,122,23514
393,137,23651
392,129,23780
391,102,23882
390,94,23976
389,84,24060
388,104,24164
387,105,24269
386,102,24371
385,103,24474
384,122,24596
383,116,24712
382,127,24839
381,108,24947
380,113,25060
379,127,25187
378,111,25298
377,107,25405
376,127,25532
375,96,25628
374,98,25726
373,97,25823
372,96,25919
371,86,26005
370,100,26105
369,92,26197
368,102,26299
367,105,26404
366,99,26503
365,89,26592
364,85,26677
363,108,26785
362,91,26876
361,102,26978
360,94,27072
359,90,27162
358,83,27245
357,92,27337
356,93,27430
355,71,27501
354,90,27591
353,80,27671
352,64,27735
351,81,27816
350,79,27895
349,81,27976
348,91,28067
347,81,28148
346,104,28252
345,79,28331
344,63,28394
343,76,28470
342,83,28553
341,72,28625
340,74,28699
339,75,28774
338,58,28832
337,79,28911
336,76,28987
335,68,29055
334,68,29123
333,60,29183
332,69,29252
331,54,29306
330,60,29366
329,61,29427
328,58,29485
327,51,29536
326,59,29595
325,58,29653
324,46,29699
323,50,29749
322,67,29816
321,60,29876
320,59,29935
319,55,29990
318,48,30038
317,51,30089
316,61,30150
315,61,30211
314,63,30274
313,57,30331
312,59,30390
311,55,30445
310,38,30483
309,37,30520
308,46,30566
307,54,30620
306,52,30672
305,47,30719
304,41,30760
303,40,30800
302,34,30834
301,43,30877
300,39,30916
299,31,30947
298,33,30980
297,28,31008
296,29,31037
295,34,31071
294,31,31102
293,36,31138
292,38,31176
291,35,31211
290,24,31235
289,39,31274
288,31,31305
287,25,31330
286,26,31356
285,31,31387
284,30,31417
283,14,31431
282,15,31446
281,27,31473
280,32,31505
279,35,31540
278,27,31567
277,22,31589
276,35,31624
275,24,31648
274,24,31672
273,21,31693
272,24,31717
271,39,31756
270,23,31779
269,22,31801
268,22,31823
267,25,31848
266,29,31877
265,14,31891
264,30,31921
263,18,31939
262,25,31964
261,22,31986
260,17,32003
259,14,32017
258,23,32040
257,12,32052
256,19,32071
255,16,32087
254,20,32107
253,18,32125
252,14,32139
251,14,32153
250,16,32169
249,12,32181
248,15,32196
247,16,32212
246,9,32221
245,10,32231
244,9,32240
243,11,32251
242,12,32263
241,14,32277
240,14,32291
239,19,32310
238,10,32320
237,13,32333
236,12,32345
235,17,32362
234,12,32374
233,17,32391
232,20,32411
231,11,32422
230,9,32431
229,9,32440
228,8,32448
227,9,32457
226,10,32467
225,9,32476
224,11,32487
223,20,32507
222,9,32516
221,14,32530
220,8,32538
219,10,32548
218,6,32554
217,7,32561
216,3,32564
215,7,32571
214,5,32576
213,6,32582
212,4,32586
211,11,32597
210,7,32604
209,6,32610
208,7,32617
207,2,32619
206,7,32626
205,4,32630
204,2,32632
203,3,32635
202,3,32638
201,1,32639
200,5,32644
