分数,本段人数,累计人数
616,54,54
615,5,59
614,7,66
613,1,67
612,8,75
611,3,78
610,4,82
609,3,85
608,5,90
607,5,95
606,6,101
605,4,105
604,3,108
603,7,115
602,5,120
601,9,129
600,5,134
599,9,143
598,6,149
597,7,156
596,5,161
595,9,170
594,11,181
593,10,191
592,8,199
591,14,213
590,9,222
589,13,235
588,7,242
587,9,251
586,11,262
585,12,274
584,8,282
583,10,292
582,10,302
581,12,314
580,10,324
579,16,340
578,15,355
577,14,369
576,18,387
575,11,398
574,12,410
573,6,416
572,16,432
571,10,442
570,10,452
569,18,470
568,14,484
567,13,497
566,15,512
565,17,529
564,20,549
563,19,568
562,16,584
561,16,600
560,22,622
559,15,637
558,17,654
557,24,678
556,23,701
555,30,731
554,20,751
553,26,777
552,20,797
551,26,823
550,19,842
549,25,867
548,21,888
547,28,916
546,24,940
545,18,958
544,27,985
543,24,1009
542,30,1039
541,30,1069
540,30,1099
539,28,1127
538,29,1156
537,25,1181
536,34,1215
535,23,1238
534,26,1264
533,33,1297
532,32,1329
531,33,1362
530,22,1384
529,36,1420
528,28,1448
527,29,1477
526,28,1505
525,24,1529
524,28,1557
523,40,1597
522,30,1627
521,38,1665
520,40,1705
519,34,1739
518,31,1770
517,33,1803
516,39,1842
515,29,1871
514,50,1921
513,32,1953
512,26,1979
511,49,2028
510,47,2075
509,45,2120
508,37,2157
507,53,2210
506,44,2254
505,32,2286
504,46,2332
503,43,2375
502,36,2411
501,41,2452
500,52,2504
499,49,2553
498,44,2597
497,49,2646
496,40,2686
495,37,2723
494,48,2771
493,63,2834
492,41,2875
491,55,2930
490,45,2975
489,58,3033
488,50,3083
487,54,3137
486,57,3194
485,40,3234
484,59,3293
483,61,3354
482,61,3415
481,54,3469
480,59,3528
479,58,3586
478,74,3660
477,49,3709
476,65,3774
475,64,3838
474,70,3908
473,58,3966
472,62,4028
471,51,4079
470,59,4138
469,59,4197
468,68,4265
467,52,4317
466,60,4377
465,66,4443
464,84,4527
463,58,4585
462,60,4645
461,61,4706
460,62,4768
459,62,4830
458,81,4911
457,80,4991
456,71,5062
455,79,5141
454,58,5199
453,86,5285
452,71,5356
451,76,5432
450,76,5508
449,63,5571
448,77,5648
447,75,5723
446,62,5785
445,83,5868
444,85,5953
443,79,6032
442,81,6113
441,66,6179
440,71,6250
439,68,6318
438,83,6401
437,78,6479
436,84,6563
435,81,6644
434,107,6751
433,81,6832
432,74,6906
431,88,6994
430,95,7089
429,89,7178
428,89,7267
427,88,7355
426,82,7437
425,89,7526
424,85,7611
423,94,7705
422,71,7776
421,82,7858
420,76,7934
419,107,8041
418,82,8123
417,109,8232
416,98,8330
415,101,8431
414,91,8522
413,84,8606
412,92,8698
411,98,8796
410,78,8874
409,98,8972
408,113,9085
407,97,9182
406,95,9277
405,87,9364
404,121,9485
403,104,9589
402,109,9698
401,92,9790
400,89,9879
399,91,9970
398,84,10054
397,84,10138
396,114,10252
395,111,10363
394,98,10461
393,91,10552
392,89,10641
391,112,10753
390,96,10849
389,96,10945
388,94,11039
387,94,11133
386,110,11243
385,114,11357
384,94,11451
383,132,11583
382,99,11682
381,114,11796
380,91,11887
379,113,12000
378,86,12086
377,110,12196
376,72,12268
375,123,12391
374,94,12485
373,94,12579
372,104,12683
371,99,12782
370,95,12877
369,113,12990
368,104,13094
367,86,13180
366,109,13289
365,101,13390
364,111,13501
363,89,13590
362,78,13668
361,93,13761
360,100,13861
359,95,13956
358,100,14056
357,70,14126
356,94,14220
355,103,14323
354,95,14418
353,104,14522
352,103,14625
351,86,14711
350,104,14815
349,97,14912
348,99,15011
347,87,15098
346,93,15191
345,103,15294
344,107,15401
343,99,15500
342,81,15581
341,113,15694
340,88,15782
339,96,15878
338,91,15969
337,91,16060
336,87,16147
335,104,16251
334,96,16347
333,102,16449
332,94,16543
331,99,16642
330,99,16741
329,86,16827
328,96,16923
327,70,16993
326,84,17077
325,93,17170
324,96,17266
323,81,17347
322,90,17437
321,83,17520
320,84,17604
319,72,17676
318,67,17743
317,76,17819
316,84,17903
315,63,17966
314,79,18045
313,80,18125
312,66,18191
311,61,18252
310,75,18327
309,68,18395
308,56,18451
307,64,18515
306,56,18571
305,73,18644
304,63,18707
303,56,18763
302,57,18820
301,70,18890
300,65,18955
299,56,19011
298,64,19075
297,70,19145
296,46,19191
295,55,19246
294,55,19301
293,66,19367
292,56,19423
291,47,19470
290,59,19529
289,45,19574
288,41,19615
287,43,19658
286,47,19705
285,42,19747
284,49,19796
283,46,19842
282,37,19879
281,39,19918
280,54,19972
279,32,20004
278,37,20041
277,39,20080
276,46,20126
275,42,20168
274,31,20199
273,32,20231
272,43,20274
271,39,20313
270,29,20342
269,31,20373
268,24,20397
267,29,20426
266,23,20449
265,35,20484
264,28,20512
263,24,20536
262,19,20555
261,34,20589
260,26,20615
259,28,20643
258,23,20666
257,23,20689
256,22,20711
255,16,20727
254,26,20753
253,18,20771
252,19,20790
251,21,20811
250,19,20830
249,19,20849
248,14,20863
247,19,20882
246,30,20912
245,26,20938
244,18,20956
243,20,20976
242,20,20996
241,15,21011
240,22,21033
239,18,21051
238,17,21068
237,13,21081
236,10,21091
235,7,21098
234,11,21109
233,11,21120
232,9,21129
231,13,21142
230,16,21158
229,9,21167
228,7,21174
227,13,21187
226,8,21195
225,3,21198
224,5,21203
223,4,21207
222,3,21210
221,10,21220
220,5,21225
219,6,21231
218,3,21234
217,9,21243
216,6,21249
215,7,21256
214,3,21259
213,3,21262
212,5,21267
211,2,21269
210,3,21272
209,6,21278
208,8,21286
207,5,21291
206,8,21299
205,7,21306
204,2,21308
203,2,21310
202,1,21311
201,3,21314
200,1,21315
199,0,21315
198,5,21320
197,4,21324
196,2,21326
195,2,21328
194,2,21330
193,1,21331
192,2,21333
191,1,21334
190,4,21338
189,3,21341
188,2,21343
187,1,21344
186,4,21348
185,2,21350
184,2,21352
183,0,21352
182,0,21352
181,3,21355
180,2,21357
179,1,21358
178,2,21360
177,0,21360
176,0,21360
175,1,21361
174,1,21362
173,2,21364
172,2,21366
171,3,21369
170,2,21371
169,2,21373
168,2,21375
167,1,21376
166,4,21380
165,1,21381
164,2,21383
163,3,21386
162,2,21388
161,0,21388
160,1,21389
159,1,21390
158,3,21393
157,2,21395
156,0,21395
155,3,21398
154,1,21399
153,0,21399
152,2,21401
151,2,21403
150,3,21406
