score,count,cumulative
637,10,10
634,1,11
633,4,15
632,3,18
631,2,20
630,1,21
626,1,22
622,2,24
620,5,29
619,4,33
618,1,34
617,1,35
616,1,36
615,5,41
614,4,45
613,4,49
612,3,52
611,1,53
610,4,57
609,2,59
607,4,63
606,4,67
605,4,71
604,1,72
603,4,76
601,2,78
600,1,79
599,7,86
598,2,88
597,5,93
596,4,97
595,2,99
594,5,104
593,7,111
592,1,112
591,7,119
590,2,121
589,9,130
588,6,136
587,5,141
586,3,144
585,9,153
584,7,160
583,4,164
582,6,170
581,6,176
580,6,182
579,9,191
578,8,199
577,6,205
576,2,207
575,9,216
574,8,224
573,9,233
572,8,241
571,8,249
570,8,257
569,9,266
568,11,277
567,3,280
566,12,292
565,8,300
564,7,307
563,8,315
562,5,320
561,10,330
560,8,338
559,11,349
558,8,357
557,7,364
556,9,373
555,9,382
554,7,389
553,11,400
552,11,411
551,13,424
550,9,433
549,13,446
548,5,451
547,9,460
546,10,470
545,9,479
544,15,494
543,12,506
542,12,518
541,14,532
540,10,542
539,18,560
538,17,577
537,12,589
536,15,604
535,12,616
534,14,630
533,12,642
532,15,657
531,15,672
530,19,691
529,13,704
528,16,720
527,21,741
526,26,767
525,18,785
524,14,799
523,16,815
522,9,824
521,13,837
520,19,856
519,15,871
518,13,884
517,19,903
516,25,928
515,22,950
514,24,974
513,26,1000
512,28,1028
511,16,1044
510,24,1068
509,29,1097
508,26,1123
507,23,1146
506,18,1164
505,15,1179
504,33,1212
503,26,1238
502,23,1261
501,19,1280
500,17,1297
499,32,1329
498,30,1359
497,26,1385
496,19,1404
495,23,1427
494,30,1457
493,19,1476
492,26,1502
491,23,1525
490,31,1556
489,26,1582
488,28,1610
487,27,1637
486,40,1677
485,28,1705
484,34,1739
483,31,1770
482,33,1803
481,33,1836
480,41,1877
479,23,1900
478,44,1944
477,34,1978
476,51,2029
475,35,2064
474,32,2096
473,50,2146
472,42,2188
471,48,2236
470,47,2283
469,39,2322
468,34,2356
467,49,2405
466,31,2436
465,45,2481
464,38,2519
463,49,2568
462,43,2611
461,40,2651
460,43,2694
459,37,2731
458,47,2778
457,57,2835
456,44,2879
455,56,2935
454,40,2975
453,58,3033
452,59,3092
451,53,3145
450,58,3203
449,51,3254
448,74,3328
447,58,3386
446,64,3450
445,60,3510
444,43,3553
443,68,3621
442,65,3686
441,50,3736
440,63,3799
439,64,3863
438,71,3934
437,65,3999
436,57,4056
435,65,4121
434,60,4181
433,54,4235
432,61,4296
431,64,4360
430,73,4433
429,68,4501
428,62,4563
427,62,4625
426,69,4694
425,70,4764
424,58,4822
423,46,4868
422,67,4935
421,46,4981
420,75,5056
419,81,5137
418,69,5206
417,87,5293
416,83,5376
415,73,5449
414,72,5521
413,74,5595
412,67,5662
411,82,5744
410,85,5829
409,64,5893
408,79,5972
407,95,6067
406,88,6155
405,84,6239
404,81,6320
403,68,6388
402,68,6456
401,70,6526
400,75,6601
399,71,6672
398,77,6749
397,84,6833
396,78,6911
395,76,6987
394,80,7067
393,82,7149
392,84,7233
391,73,7306
390,86,7392
389,89,7481
388,77,7558
387,70,7628
386,91,7719
385,86,7805
384,88,7893
383,81,7974
382,81,8055
381,82,8137
380,83,8220
379,87,8307
378,85,8392
377,80,8472
376,76,8548
375,83,8631
374,90,8721
373,82,8803
372,83,8886
371,91,8977
370,87,9064
369,77,9141
368,81,9222
367,84,9306
366,89,9395
365,91,9486
364,92,9578
363,80,9658
362,68,9726
361,81,9807
360,96,9903
359,58,9961
358,84,10045
357,82,10127
356,91,10218
355,73,10291
354,82,10373
353,96,10469
352,82,10551
351,78,10629
350,75,10704
349,75,10779
348,84,10863
347,69,10932
346,75,11007
345,87,11094
344,81,11175
343,78,11253
342,81,11334
341,78,11412
340,76,11488
339,79,11567
338,79,11646
337,77,11723
336,81,11804
335,67,11871
334,74,11945
333,81,12026
332,66,12092
331,63,12155
330,63,12218
329,67,12285
328,80,12365
327,57,12422
326,72,12494
325,76,12570
324,60,12630
323,80,12710
322,67,12777
321,63,12840
320,75,12915
319,59,12974
318,54,13028
317,64,13092
316,51,13143
315,74,13217
314,72,13289
313,61,13350
312,51,13401
311,59,13460
310,56,13516
309,47,13563
308,52,13615
307,48,13663
306,47,13710
305,58,13768
304,40,13808
303,61,13869
302,50,13919
301,54,13973
300,48,14021
299,52,14073
298,34,14107
297,49,14156
296,45,14201
295,34,14235
294,41,14276
293,41,14317
292,37,14354
291,45,14399
290,38,14437
289,42,14479
288,44,14523
287,39,14562
286,38,14600
285,43,14643
284,29,14672
283,35,14707
282,36,14743
281,29,14772
280,35,14807
279,35,14842
278,35,14877
277,44,14921
276,24,14945
275,31,14976
274,40,15016
273,32,15048
272,26,15074
271,29,15103
270,29,15132
269,34,15166
268,26,15192
267,22,15214
266,23,15237
265,33,15270
264,30,15300
263,33,15333
262,27,15360
261,19,15379
260,32,15411
259,21,15432
258,21,15453
257,17,15470
256,26,15496
255,28,15524
254,20,15544
253,19,15563
252,22,15585
251,25,15610
250,21,15631
249,14,15645
248,14,15659
247,17,15676
246,28,15704
245,17,15721
244,16,15737
243,19,15756
242,16,15772
241,17,15789
240,17,15806
239,12,15818
238,12,15830
237,8,15838
236,9,15847
235,12,15859
234,11,15870
233,11,15881
232,11,15892
231,11,15903
230,15,15918
229,9,15927
228,18,15945
227,12,15957
226,8,15965
225,13,15978
224,5,15983
223,10,15993
222,4,15997
221,6,16003
220,9,16012
219,3,16015
218,3,16018
217,15,16033
216,4,16037
215,7,16044
214,8,16052
213,4,16056
212,6,16062
211,5,16067
210,6,16073
209,5,16078
208,3,16081
207,3,16084
206,3,16087
205,2,16089
204,3,16092
203,4,16096
202,3,16099
201,6,16105
200,3,16108
199,3,16111
198,2,16113
197,2,16115
196,2,16117
195,1,16118
194,4,16122
193,1,16123
192,1,16124
191,3,16127
190,4,16131
189,1,16132
188,2,16134
187,2,16136
186,1,16137
185,1,16138
184,1,16139
183,3,16142
182,2,16144
181,2,16146
180,1,16147
179,1,16148
178,1,16149
177,1,16150
176,2,16152
174,1,16153
172,1,16154
169,1,16155
168,1,16156
163,1,16157
162,1,16158
160,1,16159
155,2,16161
153,1,16162
151,1,16163
137,1,16164
123,1,16165
122,2,16167
103,1,16168
101,1,16169
96,1,16170
89,2,16172
88,1,16173
86,1,16174
61,1,16175
55,1,16176
50,1,16177
47,1,16178
20,284,16462
18,14,16476
16,1,16477
15,138,16615
