分数,本段人数,累计人数
664,30,30
663,7,37
662,3,40
661,4,44
660,12,56
659,8,64
658,12,76
657,6,82
656,10,92
655,13,105
654,13,118
653,18,136
652,18,154
651,13,167
650,20,187
649,27,214
648,26,240
647,22,262
646,30,292
645,24,316
644,31,347
643,37,384
642,31,415
641,37,452
640,46,498
639,40,538
638,42,580
637,33,613
636,51,664
635,59,723
634,48,771
633,57,828
632,45,873
631,69,942
630,75,1017
629,68,1085
628,61,1146
627,73,1219
626,82,1301
625,83,1384
624,76,1460
623,87,1547
622,82,1629
621,111,1740
620,125,1865
619,101,1966
618,108,2074
617,124,2198
616,103,2301
615,96,2397
614,124,2521
613,137,2658
612,130,2788
611,124,2912
610,136,3048
609,142,3190
608,145,3335
607,163,3498
606,130,3628
605,144,3772
604,152,3924
603,151,4075
602,175,4250
601,158,4408
600,176,4584
599,181,4765
598,191,4956
597,192,5148
596,207,5355
595,190,5545
594,190,5735
593,190,5925
592,217,6142
591,223,6365
590,226,6591
589,239,6830
588,268,7098
587,214,7312
586,244,7556
585,272,7828
584,245,8073
583,259,8332
582,271,8603
581,271,8874
580,276,9150
579,270,9420
578,273,9693
577,315,10008
576,288,10296
575,300,10596
574,284,10880
573,300,11180
572,316,11496
571,323,11819
570,328,12147
569,373,12520
568,380,12900
567,338,13238
566,344,13582
565,378,13960
564,368,14328
563,378,14706
562,413,15119
561,380,15499
560,403,15902
559,377,16279
558,439,16718
557,424,17142
556,414,17556
555,411,17967
554,408,18375
553,422,18797
552,479,19276
551,409,19685
550,411,20096
549,430,20526
548,441,20967
547,445,21412
546,468,21880
545,496,22376
544,462,22838
543,464,23302
542,448,23750
541,486,24236
540,495,24731
539,475,25206
538,503,25709
537,509,26218
536,509,26727
535,541,27268
534,561,27829
533,510,28339
532,499,28838
531,531,29369
530,502,29871
529,582,30453
528,562,31015
527,558,31573
526,543,32116
525,582,32698
524,566,33264
523,627,33891
522,566,34457
521,560,35017
520,635,35652
519,569,36221
518,571,36792
517,613,37405
516,594,37999
515,598,38597
514,601,39198
513,593,39791
512,597,40388
511,567,40955
510,584,41539
509,616,42155
508,611,42766
507,673,43439
506,655,44094
505,637,44731
504,605,45336
503,626,45962
502,644,46606
501,680,47286
500,620,47906
499,684,48590
498,697,49287
497,678,49965
496,686,50651
495,647,51298
494,653,51951
493,657,52608
492,666,53274
491,660,53934
490,699,54633
489,676,55309
488,726,56035
487,662,56697
486,734,57431
485,700,58131
484,722,58853
483,673,59526
482,715,60241
481,726,60967
480,716,61683
479,677,62360
478,669,63029
477,693,63722
476,661,64383
475,719,65102
474,662,65764
473,666,66430
472,692,67122
471,739,67861
470,733,68594
469,668,69262
468,743,70005
467,651,70656
466,698,71354
465,698,72052
464,663,72715
463,697,73412
462,719,74131
461,655,74786
460,675,75461
459,665,76126
458,720,76846
457,686,77532
456,691,78223
455,705,78928
454,756,79684
453,681,80365
452,653,81018
451,692,81710
450,716,82426
449,699,83125
448,669,83794
447,662,84456
446,692,85148
445,704,85852
444,673,86525
443,681,87206
442,727,87933
441,634,88567
440,673,89240
439,673,89913
438,623,90536
437,622,91158
436,638,91796
435,686,92482
434,699,93181
433,687,93868
432,650,94518
431,671,95189
430,689,95878
429,683,96561
428,634,97195
427,638,97833
426,628,98461
425,657,99118
424,670,99788
423,663,100451
422,691,101142
421,696,101838
420,730,102568
419,630,103198
418,728,103926
417,719,104645
416,705,105350
415,638,105988
414,627,106615
413,686,107301
412,699,108000
411,706,108706
410,676,109382
409,642,110024
408,694,110718
407,723,111441
406,706,112147
405,678,112825
404,680,113505
403,661,114166
402,645,114811
401,656,115467
400,630,116097
399,633,116730
398,652,117382
397,695,118077
396,667,118744
395,696,119440
394,653,120093
393,662,120755
392,644,121399
391,633,122032
390,639,122671
389,635,123306
388,628,123934
387,637,124571
386,649,125220
385,626,125846
384,577,126423
383,598,127021
382,622,127643
381,672,128315
380,615,128930
379,622,129552
378,628,130180
377,647,130827
376,577,131404
375,615,132019
374,586,132605
373,544,133149
372,604,133753
371,587,134340
370,564,134904
369,555,135459
368,582,136041
367,595,136636
366,575,137211
365,563,137774
364,598,138372
363,581,138953
362,525,139478
361,568,140046
360,536,140582
359,544,141126
358,554,141680
357,541,142221
356,490,142711
355,543,143254
354,526,143780
353,538,144318
352,539,144857
351,490,145347
350,513,145860
349,504,146364
348,502,146866
347,509,147375
346,489,147864
345,472,148336
344,498,148834
343,490,149324
342,469,149793
341,486,150279
340,482,150761
339,466,151227
338,441,151668
337,454,152122
336,446,152568
335,413,152981
334,416,153397
333,394,153791
332,425,154216
331,426,154642
330,414,155056
329,398,155454
328,407,155861
327,383,156244
326,398,156642
325,400,157042
324,383,157425
323,386,157811
322,389,158200
321,352,158552
320,384,158936
319,379,159315
318,349,159664
317,313,159977
316,336,160313
315,352,160665
314,346,161011
313,356,161367
312,328,161695
311,344,162039
310,304,162343
309,342,162685
308,335,163020
307,315,163335
306,294,163629
305,277,163906
304,299,164205
303,269,164474
302,314,164788
301,258,165046
300,240,165286
299,261,165547
298,271,165818
297,249,166067
296,268,166335
295,270,166605
294,254,166859
293,220,167079
292,242,167321
291,245,167566
290,228,167794
289,226,168020
288,226,168246
287,215,168461
286,190,168651
285,223,168874
284,190,169064
283,206,169270
282,218,169488
281,207,169695
280,190,169885
279,182,170067
278,190,170257
277,190,170447
276,187,170634
275,173,170807
274,180,170987
273,201,171188
272,162,171350
271,182,171532
270,173,171705
269,184,171889
268,187,172076
267,141,172217
266,135,172352
265,149,172501
264,160,172661
263,133,172794
262,149,172943
261,148,173091
260,105,173196
259,131,173327
258,115,173442
257,120,173562
256,136,173698
255,109,173807
254,106,173913
253,106,174019
252,122,174141
251,110,174251
250,108,174359
249,91,174450
248,95,174545
247,78,174623
246,104,174727
245,89,174816
244,118,174934
243,95,175029
242,99,175128
241,93,175221
240,90,175311
239,75,175386
238,75,175461
237,81,175542
236,87,175629
235,76,175705
234,55,175760
233,65,175825
232,81,175906
231,77,175983
230,55,176038
229,69,176107
228,67,176174
227,60,176234
226,69,176303
225,64,176367
224,52,176419
223,57,176476
222,38,176514
221,61,176575
220,44,176619
219,53,176672
218,45,176717
217,52,176769
216,47,176816
215,52,176868
214,41,176909
213,40,176949
212,30,176979
211,36,177015
210,33,177048
209,36,177084
208,43,177127
207,33,177160
206,39,177199
205,28,177227
204,22,177249
203,32,177281
202,24,177305
201,24,177329
200,20,177349
199,14,177363
198,19,177382
197,25,177407
196,20,177427
195,24,177451
194,26,177477
193,23,177500
192,19,177519
191,31,177550
190,12,177562
189,16,177578
188,17,177595
187,20,177615
186,14,177629
185,16,177645
184,15,177660
183,14,177674
182,19,177693
181,14,177707
180,16,177723
179,6,177729
178,20,177749
177,12,177761
176,9,177770
175,10,177780
174,14,177794
173,7,177801
172,9,177810
171,10,177820
170,6,177826
169,4,177830
168,9,177839
167,10,177849
166,6,177855
165,4,177859
164,13,177872
163,9,177881
162,11,177892
161,9,177901
160,8,177909
159,10,177919
158,2,177921
157,6,177927
156,7,177934
155,4,177938
154,12,177950
153,9,177959
152,8,177967
151,8,177975
150,3,177978
