score,count,cumulative
691,43,43
690,14,57
689,16,73
688,16,89
687,19,108
686,20,128
685,26,154
684,15,169
683,32,201
682,28,229
681,36,265
680,47,312
679,37,349
678,41,390
677,40,430
676,60,490
675,57,547
674,72,619
673,69,688
672,61,749
671,88,837
670,87,924
669,96,1020
668,112,1132
667,94,1226
666,114,1340
665,112,1452
664,106,1558
663,129,1687
662,166,1853
661,145,1998
660,154,2152
659,155,2307
658,194,2501
657,172,2673
656,171,2844
655,205,3049
654,221,3270
653,191,3461
652,211,3672
651,245,3917
650,232,4149
649,246,4395
648,234,4629
647,292,4921
646,284,5205
645,278,5483
644,272,5755
643,318,6073
642,331,6404
641,303,6707
640,320,7027
639,355,7382
638,357,7739
637,367,8106
636,320,8426
635,369,8795
634,376,9171
633,359,9530
632,436,9966
631,408,10374
630,384,10758
629,430,11188
628,406,11594
627,430,12024
626,478,12502
625,420,12922
624,452,13374
623,485,13859
622,482,14341
621,485,14826
620,503,15329
619,515,15844
618,519,16363
617,494,16857
616,524,17381
615,568,17949
614,558,18507
613,558,19065
612,580,19645
611,539,20184
610,609,20793
609,605,21398
608,596,21994
607,643,22637
606,613,23250
605,644,23894
604,609,24503
603,598,25101
602,641,25742
601,651,26393
600,696,27089
599,737,27826
598,614,28440
597,704,29144
596,675,29819
595,724,30543
594,718,31261
593,709,31970
592,704,32674
591,712,33386
590,701,34087
589,700,34787
588,745,35532
587,766,36298
586,748,37046
585,793,37839
584,773,38612
583,836,39448
582,783,40231
581,831,41062
580,797,41859
579,872,42731
578,890,43621
577,822,44443
576,860,45303
575,931,46234
574,848,47082
573,857,47939
572,840,48779
571,906,49685
570,968,50653
569,881,51534
568,882,52416
567,914,53330
566,873,54203
565,902,55105
564,922,56027
563,969,56996
562,987,57983
561,1002,58985
560,1047,60032
559,1071,61103
558,1022,62125
557,1030,63155
556,1063,64218
555,1009,65227
554,1034,66261
553,1096,67357
552,1099,68456
551,1056,69512
550,1102,70614
549,1079,71693
548,1097,72790
547,1035,73825
546,1130,74955
545,1141,76096
544,1131,77227
543,1224,78451
542,1124,79575
541,1176,80751
540,1121,81872
539,1145,83017
538,1161,84178
537,1162,85340
536,1156,86496
535,1225,87721
534,1196,88917
533,1212,90129
532,1247,91376
531,1188,92564
530,1265,93829
529,1237,95066
528,1267,96333
527,1343,97676
526,1237,98913
525,1242,100155
524,1322,101477
523,1314,102791
522,1274,104065
521,1314,105379
520,1317,106696
519,1340,108036
518,1391,109427
517,1344,110771
516,1369,112140
515,1405,113545
514,1383,114928
513,1425,116353
512,1390,117743
511,1367,119110
510,1365,120475
509,1363,121838
508,1499,123337
507,1492,124829
506,1473,126302
505,1450,127752
504,1430,129182
503,1450,130632
502,1487,132119
501,1456,133575
500,1475,135050
499,1456,136506
498,1392,137898
497,1571,139469
496,1516,140985
495,1441,142426
494,1511,143937
493,1489,145426
492,1477,146903
491,1452,148355
490,1461,149816
489,1542,151358
488,1488,152846
487,1423,154269
486,1538,155807
485,1469,157276
484,1522,158798
483,1474,160272
482,1461,161733
481,1468,163201
480,1446,164647
479,1405,166052
478,1414,167466
477,1405,168871
476,1429,170300
475,1478,171778
474,1477,173255
473,1411,174666
472,1516,176182
471,1415,177597
470,1435,179032
469,1410,180442
468,1354,181796
467,1411,183207
466,1409,184616
465,1361,185977
464,1348,187325
463,1333,188658
462,1319,189977
461,1439,191416
460,1350,192766
459,1362,194128
458,1368,195496
457,1245,196741
456,1249,197990
455,1331,199321
454,1330,200651
453,1286,201937
452,1256,203193
451,1257,204450
450,1254,205704
449,1325,207029
448,1262,208291
447,1196,209487
446,1242,210729
445,1243,211972
444,1250,213222
443,1173,214395
442,1191,215586
441,1223,216809
440,1095,217904
439,1204,219108
438,1171,220279
437,1106,221385
436,1123,222508
435,1113,223621
434,1136,224757
433,1111,225868
432,1080,226948
431,1100,228048
430,1076,229124
429,1115,230239
428,1089,231328
427,1079,232407
426,1051,233458
425,1054,234512
424,1058,235570
423,1041,236611
422,998,237609
421,999,238608
420,950,239558
419,947,240505
418,961,241466
417,984,242450
416,966,243416
415,935,244351
414,915,245266
413,920,246186
412,955,247141
411,868,248009
410,907,248916
409,883,249799
408,878,250677
407,916,251593
406,867,252460
405,890,253350
404,863,254213
403,837,255050
402,828,255878
401,823,256701
400,847,257548
399,779,258327
398,828,259155
397,817,259972
396,859,260831
395,808,261639
394,759,262398
393,757,263155
392,764,263919
391,767,264686
390,715,265401
389,762,266163
388,705,266868
387,695,267563
386,728,268291
385,721,269012
384,712,269724
383,677,270401
382,690,271091
381,700,271791
380,654,272445
379,688,273133
378,701,273834
377,672,274506
376,635,275141
375,694,275835
374,647,276482
373,659,277141
372,655,277796
371,623,278419
370,661,279080
369,647,279727
368,657,280384
367,629,281013
366,564,281577
365,623,282200
364,600,282800
363,551,283351
362,599,283950
361,564,284514
360,577,285091
359,556,285647
358,494,286141
357,573,286714
356,579,287293
355,523,287816
354,509,288325
353,518,288843
352,515,289358
351,481,289839
350,454,290293
349,460,290753
348,475,291228
347,476,291704
346,451,292155
345,503,292658
344,439,293097
343,448,293545
342,453,293998
341,469,294467
340,456,294923
339,426,295349
338,398,295747
337,425,296172
336,384,296556
335,412,296968
334,404,297372
333,423,297795
332,381,298176
331,371,298547
330,393,298940
329,401,299341
328,392,299733
327,363,300096
326,354,300450
325,372,300822
324,391,301213
323,345,301558
322,358,301916
321,327,302243
320,327,302570
319,342,302912
318,334,303246
317,312,303558
316,336,303894
315,299,304193
314,351,304544
313,324,304868
312,328,305196
311,276,305472
310,314,305786
309,289,306075
308,293,306368
307,294,306662
306,252,306914
305,276,307190
304,302,307492
303,257,307749
302,283,308032
301,261,308293
300,257,308550
299,276,308826
298,304,309130
297,234,309364
296,223,309587
295,245,309832
294,227,310059
293,241,310300
292,249,310549
291,232,310781
290,250,311031
289,234,311265
288,224,311489
287,199,311688
286,221,311909
285,219,312128
284,196,312324
283,197,312521
282,216,312737
281,213,312950
280,222,313172
279,209,313381
278,191,313572
277,173,313745
276,188,313933
275,177,314110
274,194,314304
273,154,314458
272,169,314627
271,150,314777
270,145,314922
269,156,315078
268,158,315236
267,172,315408
266,156,315564
265,155,315719
264,132,315851
263,155,316006
262,144,316150
261,150,316300
260,130,316430
259,128,316558
258,119,316677
257,151,316828
256,145,316973
255,121,317094
254,121,317215
253,124,317339
252,99,317438
251,119,317557
250,121,317678
249,103,317781
248,102,317883
247,112,317995
246,96,318091
245,95,318186
244,85,318271
243,92,318363
242,93,318456
241,89,318545
240,100,318645
239,90,318735
238,88,318823
237,76,318899
236,66,318965
235,76,319041
234,68,319109
233,68,319177
232,75,319252
231,65,319317
230,72,319389
229,66,319455
228,54,319509
227,84,319593
226,76,319669
225,65,319734
224,62,319796
223,58,319854
222,56,319910
221,41,319951
220,59,320010
219,56,320066
218,54,320120
217,49,320169
216,47,320216
215,42,320258
214,35,320293
213,46,320339
212,48,320387
211,42,320429
210,33,320462
209,46,320508
208,27,320535
207,38,320573
206,26,320599
205,40,320639
204,30,320669
203,32,320701
202,25,320726
201,24,320750
200,29,320779
