分数,本段人数,累计人数
683,52,52
682,2,54
681,10,64
680,13,77
679,4,81
678,12,93
677,15,108
676,13,121
675,8,129
674,24,153
673,17,170
672,21,191
671,16,207
670,24,231
669,24,255
668,26,281
667,17,298
666,22,320
665,29,349
664,23,372
663,26,398
662,33,431
661,24,455
660,26,481
659,31,512
658,35,547
657,34,581
656,32,613
655,34,647
654,43,690
653,35,725
652,33,758
651,34,792
650,48,840
649,60,900
648,65,965
647,55,1020
646,52,1072
645,74,1146
644,56,1202
643,60,1262
642,61,1323
641,75,1398
640,75,1473
639,74,1547
638,72,1619
637,85,1704
636,84,1788
635,101,1889
634,93,1982
633,83,2065
632,100,2165
631,108,2273
630,113,2386
629,109,2495
628,100,2595
627,105,2700
626,117,2817
625,127,2944
624,110,3054
623,122,3176
622,125,3301
621,142,3443
620,158,3601
619,148,3749
618,174,3923
617,155,4078
616,154,4232
615,134,4366
614,160,4526
613,175,4701
612,165,4866
611,171,5037
610,186,5223
609,175,5398
608,188,5586
607,176,5762
606,181,5943
605,162,6105
604,208,6313
603,231,6544
602,222,6766
601,207,6973
600,215,7188
599,225,7413
598,227,7640
597,229,7869
596,231,8100
595,249,8349
594,243,8592
593,236,8828
592,245,9073
591,246,9319
590,221,9540
589,288,9828
588,266,10094
587,264,10358
586,263,10621
585,287,10908
584,305,11213
583,267,11480
582,284,11764
581,303,12067
580,332,12399
579,298,12697
578,312,13009
577,352,13361
576,323,13684
575,320,14004
574,353,14357
573,334,14691
572,338,15029
571,323,15352
570,337,15689
569,355,16044
568,356,16400
567,368,16768
566,352,17120
565,351,17471
564,375,17846
563,363,18209
562,386,18595
561,375,18970
560,353,19323
559,413,19736
558,429,20165
557,415,20580
556,447,21027
555,381,21408
554,435,21843
553,410,22253
552,407,22660
551,444,23104
550,431,23535
549,442,23977
548,438,24415
547,451,24866
546,474,25340
545,454,25794
544,472,26266
543,521,26787
542,484,27271
541,477,27748
540,509,28257
539,499,28756
538,510,29266
537,571,29837
536,513,30350
535,467,30817
534,521,31338
533,556,31894
532,516,32410
531,574,32984
530,510,33494
529,553,34047
528,555,34602
527,555,35157
526,579,35736
525,612,36348
524,597,36945
523,551,37496
522,590,38086
521,591,38677
520,562,39239
519,586,39825
518,609,40434
517,602,41036
516,622,41658
515,681,42339
514,687,43026
513,637,43663
512,663,44326
511,676,45002
510,645,45647
509,643,46290
508,658,46948
507,724,47672
506,687,48359
505,746,49105
504,733,49838
503,692,50530
502,710,51240
501,655,51895
500,738,52633
499,722,53355
498,719,54074
497,728,54802
496,753,55555
495,789,56344
494,774,57118
493,745,57863
492,789,58652
491,786,59438
490,744,60182
489,773,60955
488,799,61754
487,819,62573
486,824,63397
485,860,64257
484,819,65076
483,901,65977
482,901,66878
481,855,67733
480,850,68583
479,823,69406
478,847,70253
477,924,71177
476,836,72013
475,974,72987
474,903,73890
473,864,74754
472,921,75675
471,884,76559
470,938,77497
469,954,78451
468,973,79424
467,963,80387
466,986,81373
465,931,82304
464,993,83297
463,976,84273
462,936,85209
461,993,86202
460,963,87165
459,976,88141
458,1011,89152
457,979,90131
456,992,91123
455,989,92112
454,992,93104
453,993,94097
452,1034,95131
451,1024,96155
450,1008,97163
449,1017,98180
448,1032,99212
447,1026,100238
446,1015,101253
445,1052,102305
444,1060,103365
443,1030,104395
442,1042,105437
441,1039,106476
440,1059,107535
439,1002,108537
438,1023,109560
437,1021,110581
436,993,111574
435,1028,112602
434,1035,113637
433,995,114632
432,1011,115643
431,1055,116698
430,1018,117716
429,1013,118729
428,1001,119730
427,1001,120731
426,980,121711
425,1024,122735
424,972,123707
423,1028,124735
422,1071,125806
421,1005,126811
420,1063,127874
419,1005,128879
418,995,129874
417,1008,130882
416,967,131849
415,1026,132875
414,1046,133921
413,1010,134931
412,930,135861
411,956,136817
410,928,137745
409,920,138665
408,957,139622
407,902,140524
406,988,141512
405,935,142447
404,867,143314
403,892,144206
402,889,145095
401,894,145989
400,955,146944
399,864,147808
398,889,148697
397,890,149587
396,843,150430
395,832,151262
394,884,152146
393,872,153018
392,920,153938
391,849,154787
390,794,155581
389,830,156411
388,860,157271
387,790,158061
386,763,158824
385,781,159605
384,801,160406
383,756,161162
382,749,161911
381,709,162620
380,717,163337
379,746,164083
378,743,164826
377,716,165542
376,705,166247
375,678,166925
374,705,167630
373,690,168320
372,687,169007
371,649,169656
370,665,170321
369,703,171024
368,686,171710
367,607,172317
366,608,172925
365,636,173561
364,587,174148
363,568,174716
362,580,175296
361,633,175929
360,553,176482
359,555,177037
358,528,177565
357,529,178094
356,547,178641
355,527,179168
354,579,179747
353,481,180228
352,521,180749
351,474,181223
350,464,181687
349,506,182193
348,465,182658
347,472,183130
346,447,183577
345,436,184013
344,463,184476
343,417,184893
342,418,185311
341,412,185723
340,465,186188
339,423,186611
338,411,187022
337,420,187442
336,396,187838
335,366,188204
334,379,188583
333,403,188986
332,353,189339
331,388,189727
330,334,190061
329,347,190408
328,332,190740
327,352,191092
326,333,191425
325,292,191717
324,311,192028
323,309,192337
322,283,192620
321,312,192932
320,303,193235
319,280,193515
318,281,193796
317,262,194058
316,276,194334
315,296,194630
314,258,194888
313,263,195151
312,237,195388
311,249,195637
310,239,195876
309,237,196113
308,206,196319
307,217,196536
306,216,196752
