分数,本段人数,累计人数
710,12,12
709,7,19
708,4,23
707,4,27
706,6,33
705,8,41
704,11,52
703,14,66
702,16,82
701,9,91
700,17,108
699,14,122
698,29,151
697,35,186
696,27,213
695,28,241
694,31,272
693,41,313
692,26,339
691,41,380
690,36,416
689,45,461
688,50,511
687,55,566
686,61,627
685,68,695
684,84,779
683,78,857
682,104,961
681,86,1047
680,99,1146
679,131,1277
678,103,1380
677,129,1509
676,115,1624
675,139,1763
674,154,1917
673,144,2061
672,169,2230
671,165,2395
670,184,2579
669,162,2741
668,198,2939
667,232,3171
666,216,3387
665,227,3614
664,224,3838
663,243,4081
662,235,4316
661,262,4578
660,296,4874
659,273,5147
658,309,5456
657,302,5758
656,362,6120
655,321,6441
654,338,6779
653,365,7144
652,367,7511
651,403,7914
650,367,8281
649,406,8687
648,443,9130
647,407,9537
646,452,9989
645,456,10445
644,441,10886
643,484,11370
642,472,11842
641,511,12353
640,517,12870
639,534,13404
638,537,13941
637,559,14500
636,566,15066
635,661,15727
634,630,16357
633,641,16998
632,634,17632
631,610,18242
630,681,18923
629,676,19599
628,663,20262
627,677,20939
626,747,21686
625,764,22450
624,754,23204
623,776,23980
622,784,24764
621,847,25611
620,774,26385
619,854,27239
618,849,28088
617,901,28989
616,941,29930
615,882,30812
614,893,31705
613,902,32607
612,962,33569
611,1000,34569
610,955,35524
609,962,36486
608,987,37473
607,1025,38498
606,1020,39518
605,1091,40609
604,1054,41663
603,1049,42712
602,1059,43771
601,1072,44843
600,1044,45887
599,1123,47010
598,1121,48131
597,1174,49305
596,1216,50521
595,1163,51684
594,1165,52849
593,1210,54059
592,1239,55298
591,1327,56625
590,1322,57947
589,1293,59240
588,1248,60488
587,1230,61718
586,1307,63025
585,1400,64425
584,1284,65709
583,1411,67120
582,1319,68439
581,1432,69871
580,1334,71205
579,1469,72674
578,1405,74079
577,1505,75584
576,1367,76951
575,1417,78368
574,1499,79867
573,1470,81337
572,1465,82802
571,1500,84302
570,1545,85847
569,1450,87297
568,1478,88775
567,1457,90232
566,1500,91732
565,1537,93269
564,1574,94843
563,1617,96460
562,1604,98064
561,1617,99681
560,1598,101279
559,1649,102928
558,1625,104553
557,1557,106110
556,1609,107719
555,1595,109314
554,1637,110951
553,1717,112668
552,1680,114348
551,1730,116078
550,1751,117829
549,1703,119532
548,1677,121209
547,1764,122973
546,1799,124772
545,1705,126477
544,1676,128153
543,1673,129826
542,1742,131568
541,1749,133317
540,1779,135096
539,1816,136912
538,1810,138722
537,1707,140429
536,1763,142192
535,1784,143976
534,1877,145853
533,1848,147701
532,1857,149558
531,1806,151364
530,1806,153170
529,1807,154977
528,1773,156750
527,1814,158564
526,1814,160378
525,1813,162191
524,1866,164057
523,1870,165927
522,1825,167752
521,1902,169654
520,1932,171586
519,1802,173388
518,1879,175267
517,1828,177095
516,1900,178995
515,1869,180864
514,1887,182751
513,1881,184632
512,1878,186510
511,1805,188315
510,1913,190228
509,1966,192194
508,1899,194093
507,1915,196008
506,1949,197957
505,1953,199910
504,2001,201911
503,1988,203899
502,1919,205818
501,1919,207737
500,1958,209695
499,1926,211621
498,1875,213496
497,1915,215411
496,2028,217439
495,1938,219377
494,1928,221305
493,1960,223265
492,1943,225208
491,1928,227136
490,1958,229094
489,1906,231000
488,1985,232985
487,1933,234918
486,1884,236802
485,2022,238824
484,1953,240777
483,2013,242790
482,1922,244712
481,1998,246710
480,1977,248687
479,1898,250585
478,1970,252555
477,1956,254511
476,1936,256447
475,2010,258457
474,1913,260370
473,1920,262290
472,1913,264203
471,1936,266139
470,1942,268081
469,1968,270049
468,1960,272009
467,2044,274053
466,1908,275961
465,1977,277938
464,1919,279857
463,1913,281770
462,1905,283675
461,1944,285619
460,1912,287531
459,1956,289487
458,1932,291419
457,2011,293430
456,1851,295281
455,1793,297074
454,1899,298973
453,1837,300810
452,1885,302695
451,1870,304565
450,1886,306451
449,1881,308332
448,1815,310147
447,1782,311929
446,1810,313739
445,1864,315603
444,1911,317514
443,1916,319430
442,1875,321305
441,1844,323149
440,1818,324967
439,1839,326806
438,1817,328623
437,1822,330445
436,1830,332275
435,1775,334050
434,1854,335904
433,1771,337675
432,1790,339465
431,1779,341244
430,1738,342982
429,1814,344796
428,1811,346607
427,1751,348358
426,1760,350118
425,1745,351863
