最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
676,676,33,33,江西,物理类,2025,750,3+1+2
670,670,93,93,江西,物理类,2025,750,3+1+2
660,660,280,280,江西,物理类,2025,750,3+1+2
650,650,625,625,江西,物理类,2025,750,3+1+2
640,640,1275,1275,江西,物理类,2025,750,3+1+2
630,630,2312,2312,江西,物理类,2025,750,3+1+2
620,620,3877,3877,江西,物理类,2025,750,3+1+2
610,610,6135,6135,江西,物理类,2025,750,3+1+2
600,600,8985,8985,江西,物理类,2025,750,3+1+2
590,590,12667,12667,江西,物理类,2025,750,3+1+2
580,580,16993,16993,江西,物理类,2025,750,3+1+2
570,570,22223,22223,江西,物理类,2025,750,3+1+2
560,560,28237,28237,江西,物理类,2025,750,3+1+2
550,550,35167,35167,江西,物理类,2025,750,3+1+2
540,540,43054,43054,江西,物理类,2025,750,3+1+2
530,530,50918,50918,江西,物理类,2025,750,3+1+2
520,520,61721,61721,江西,物理类,2025,750,3+1+2
510,510,72579,72579,江西,物理类,2025,750,3+1+2
505,505,78323,78323,江西,物理类,2025,750,3+1+2
500,500,84381,84381,江西,物理类,2025,750,3+1+2
490,490,97073,97073,江西,物理类,2025,750,3+1+2
480,480,110174,110174,江西,物理类,2025,750,3+1+2
470,470,123427,123427,江西,物理类,2025,750,3+1+2
460,460,136502,136502,江西,物理类,2025,750,3+1+2
450,450,148841,148841,江西,物理类,2025,750,3+1+2
440,440,160373,160373,江西,物理类,2025,750,3+1+2
430,430,171055,171055,江西,物理类,2025,750,3+1+2
429,429,172066,172066,江西,物理类,2025,750,3+1+2
420,420,180751,180751,江西,物理类,2025,750,3+1+2
410,410,188670,188670,江西,物理类,2025,750,3+1+2
400,400,197354,197354,江西,物理类,2025,750,3+1+2
390,390,204580,204580,江西,物理类,2025,750,3+1+2
380,380,211068,211068,江西,物理类,2025,750,3+1+2
370,370,216881,216881,江西,物理类,2025,750,3+1+2
360,360,222393,222393,江西,物理类,2025,750,3+1+2
350,350,227280,227280,江西,物理类,2025,750,3+1+2
340,340,231791,231791,江西,物理类,2025,750,3+1+2
330,330,235919,235919,江西,物理类,2025,750,3+1+2
320,320,239667,239667,江西,物理类,2025,750,3+1+2
310,310,243082,243082,江西,物理类,2025,750,3+1+2
300,300,246254,246254,江西,物理类,2025,750,3+1+2
290,290,249062,249062,江西,物理类,2025,750,3+1+2
280,280,251669,251669,江西,物理类,2025,750,3+1+2
270,270,254072,254072,江西,物理类,2025,750,3+1+2
260,260,256188,256188,江西,物理类,2025,750,3+1+2
250,250,258116,258116,江西,物理类,2025,750,3+1+2
240,240,259802,259802,江西,物理类,2025,750,3+1+2
230,230,261281,261281,江西,物理类,2025,750,3+1+2
220,220,262517,262517,江西,物理类,2025,750,3+1+2
210,210,263556,263556,江西,物理类,2025,750,3+1+2
200,200,264393,264393,江西,物理类,2025,750,3+1+2
190,190,264968,264968,江西,物理类,2025,750,3+1+2
180,180,265411,265411,江西,物理类,2025,750,3+1+2
170,170,265723,265723,江西,物理类,2025,750,3+1+2
160,160,265963,265963,江西,物理类,2025,750,3+1+2
150,150,266129,266129,江西,物理类,2025,750,3+1+2
140,140,266244,266244,江西,物理类,2025,750,3+1+2
130,130,266312,266312,江西,物理类,2025,750,3+1+2
120,120,266362,266362,江西,物理类,2025,750,3+1+2
110,110,266400,266400,江西,物理类,2025,750,3+1+2
100,100,266425,266425,江西,物理类,2025,750,3+1+2
