分数,本段人数,累计人数
704,11,11
702,5,16
701,3,19
700,5,24
699,4,28
698,1,29
697,3,32
696,4,36
695,5,41
694,6,47
693,2,49
692,5,54
691,4,58
690,8,66
689,8,74
688,8,82
687,8,90
686,16,106
685,14,120
684,13,133
683,7,140
682,12,152
681,15,167
680,23,190
679,22,212
678,14,226
677,19,245
676,21,266
675,19,285
674,28,313
673,17,330
672,20,350
671,20,370
670,23,393
669,20,413
668,23,436
667,34,470
666,25,495
665,24,519
664,22,541
663,36,577
662,24,601
661,37,638
660,32,670
659,43,713
658,40,753
657,40,793
656,48,841
655,56,897
654,53,950
653,53,1003
652,49,1052
651,47,1099
650,50,1149
649,69,1218
648,54,1272
647,44,1316
646,56,1372
645,52,1424
644,66,1490
643,78,1568
642,66,1634
641,63,1697
640,66,1763
639,69,1832
638,87,1919
637,82,2001
636,78,2079
635,83,2162
634,78,2240
633,90,2330
632,96,2426
631,90,2516
630,82,2598
629,104,2702
628,87,2789
627,96,2885
626,130,3015
625,96,3111
624,114,3225
623,105,3330
622,116,3446
621,102,3548
620,129,3677
619,119,3796
618,112,3908
617,117,4025
616,117,4142
615,142,4284
614,107,4391
613,126,4517
612,147,4664
611,136,4800
610,135,4935
609,124,5059
608,135,5194
607,131,5325
606,146,5471
605,128,5599
604,141,5740
603,150,5890
602,136,6026
601,158,6184
600,165,6349
599,183,6532
598,135,6667
597,151,6818
596,196,7014
595,164,7178
594,159,7337
593,162,7499
592,168,7667
591,171,7838
590,175,8013
589,185,8198
588,181,8379
587,153,8532
586,182,8714
585,170,8884
584,159,9043
583,176,9219
582,175,9394
581,180,9574
580,210,9784
579,188,9972
578,211,10183
577,197,10380
576,200,10580
575,221,10801
574,190,10991
573,198,11189
572,205,11394
571,213,11607
570,216,11823
569,210,12033
568,237,12270
567,231,12501
566,221,12722
565,210,12932
564,222,13154
563,234,13388
562,216,13604
561,205,13809
560,227,14036
559,232,14268
558,226,14494
557,216,14710
556,246,14956
555,217,15173
554,220,15393
553,214,15607
552,251,15858
551,241,16099
550,228,16327
549,278,16605
548,242,16847
547,245,17092
546,235,17327
545,263,17590
544,234,17824
543,253,18077
542,249,18326
541,256,18582
540,243,18825
539,252,19077
538,228,19305
537,248,19553
536,262,19815
535,242,20057
534,239,20296
533,236,20532
532,283,20815
531,269,21084
530,258,21342
529,266,21608
528,284,21892
527,273,22165
526,277,22442
525,277,22719
524,286,23005
523,282,23287
522,292,23579
521,288,23867
520,275,24142
519,284,24426
518,275,24701
517,265,24966
516,270,25236
515,283,25519
514,274,25793
513,297,26090
512,290,26380
511,293,26673
510,282,26955
509,281,27236
508,260,27496
507,294,27790
506,288,28078
505,298,28376
504,269,28645
503,256,28901
502,310,29211
501,277,29488
500,292,29780
499,274,30054
498,280,30334
497,292,30626
496,280,30906
495,315,31221
494,305,31526
493,312,31838
492,295,32133
491,312,32445
490,308,32753
489,291,33044
488,288,33332
487,280,33612
486,306,33918
485,293,34211
484,317,34528
483,308,34836
482,276,35112
481,314,35426
