分数,本段人数,累计人数
641,104,104
640,9,113
639,3,116
638,4,120
637,5,125
636,8,133
635,5,138
634,7,145
633,6,151
632,5,156
631,7,163
630,13,176
629,10,186
628,16,202
627,10,212
626,9,221
625,8,229
624,6,235
623,11,246
622,13,259
621,4,263
620,8,271
619,13,284
618,17,301
617,24,325
616,11,336
615,14,350
614,21,371
613,13,384
612,12,396
611,13,409
610,17,426
609,23,449
608,18,467
607,25,492
606,16,508
605,26,534
604,17,551
603,17,568
602,15,583
601,14,597
600,16,613
599,24,637
598,26,663
597,19,682
596,30,712
595,25,737
594,33,770
593,27,797
592,29,826
591,31,857
590,24,881
589,32,913
588,25,938
587,44,982
586,23,1005
585,29,1034
584,32,1066
583,30,1096
582,37,1133
581,51,1184
580,33,1217
579,45,1262
578,41,1303
577,48,1351
576,43,1394
575,42,1436
574,36,1472
573,41,1513
572,50,1563
571,49,1612
570,44,1656
569,58,1714
568,40,1754
567,40,1794
566,41,1835
565,52,1887
564,46,1933
563,61,1994
562,44,2038
561,53,2091
560,61,2152
559,52,2204
558,59,2263
557,68,2331
556,70,2401
555,47,2448
554,45,2493
553,60,2553
552,55,2608
551,62,2670
550,73,2743
549,78,2821
548,55,2876
547,63,2939
546,60,2999
545,73,3072
544,62,3134
543,65,3199
542,66,3265
541,77,3342
540,67,3409
539,66,3475
538,84,3559
537,74,3633
536,68,3701
535,73,3774
534,70,3844
533,82,3926
532,71,3997
531,85,4082
530,99,4181
529,84,4265
528,90,4355
527,80,4435
526,94,4529
525,84,4613
524,91,4704
523,71,4775
522,91,4866
521,81,4947
520,96,5043
519,90,5133
518,86,5219
517,87,5306
516,98,5404
515,131,5535
514,97,5632
513,118,5750
512,103,5853
511,97,5950
510,108,6058
509,103,6161
508,111,6272
507,106,6378
506,104,6482
505,107,6589
504,126,6715
503,102,6817
502,127,6944
501,116,7060
500,125,7185
499,115,7300
498,85,7385
497,105,7490
496,105,7595
495,110,7705
494,94,7799
493,139,7938
492,124,8062
491,146,8208
490,106,8314
489,116,8430
488,129,8559
487,115,8674
486,133,8807
485,126,8933
484,134,9067
483,119,9186
482,132,9318
481,146,9464
480,139,9603
479,162,9765
478,138,9903
477,134,10037
476,151,10188
475,157,10345
474,139,10484
473,152,10636
472,153,10789
471,146,10935
470,149,11084
469,151,11235
468,170,11405
467,140,11545
466,156,11701
465,159,11860
464,142,12002
463,160,12162
462,155,12317
461,157,12474
460,185,12659
459,175,12834
458,192,13026
457,160,13186
456,186,13372
455,178,13550
454,150,13700
453,175,13875
452,173,14048
451,166,14214
450,207,14421
449,194,14615
448,178,14793
447,169,14962
446,200,15162
445,190,15352
444,181,15533
443,193,15726
442,200,15926
441,193,16119
440,189,16308
439,203,16511
438,206,16717
437,180,16897
436,205,17102
435,202,17304
434,207,17511
433,195,17706
432,187,17893
431,179,18072
430,214,18286
429,212,18498
428,223,18721
427,189,18910
426,207,19117
425,195,19312
424,198,19510
423,210,19720
422,210,19930
421,197,20127
420,210,20337
419,198,20535
418,185,20720
417,209,20929
416,190,21119
415,224,21343
414,205,21548
413,207,21755
412,202,21957
411,205,22162
410,213,22375
409,202,22577
408,188,22765
407,226,22991
406,206,23197
405,203,23400
404,203,23603
403,227,23830
402,213,24043
401,198,24241
400,208,24449
399,231,24680
398,207,24887
397,225,25112
396,184,25296
395,200,25496
394,196,25692
393,192,25884
392,218,26102
391,197,26299
390,177,26476
389,188,26664
388,193,26857
387,212,27069
386,189,27258
385,211,27469
384,214,27683
383,194,27877
382,186,28063
381,168,28231
380,203,28434
379,210,28644
378,203,28847
377,198,29045
376,203,29248
375,189,29437
374,192,29629
373,199,29828
372,197,30025
371,198,30223
370,175,30398
369,165,30563
368,194,30757
367,159,30916
366,163,31079
365,165,31244
364,187,31431
363,189,31620
362,197,31817
361,170,31987
360,158,32145
359,184,32329
358,185,32514
357,199,32713
356,170,32883
355,156,33039
354,177,33216
353,177,33393
352,169,33562
351,149,33711
350,165,33876
349,156,34032
348,174,34206
347,173,34379
346,179,34558
345,152,34710
344,161,34871
343,167,35038
342,151,35189
341,132,35321
340,141,35462
339,144,35606
338,136,35742
337,152,35894
336,159,36053
335,127,36180
334,147,36327
333,151,36478
332,151,36629
331,149,36778
330,146,36924
329,145,37069
328,146,37215
327,119,37334
326,140,37474
325,154,37628
324,138,37766
323,144,37910
322,134,38044
321,146,38190
320,112,38302
319,124,38426
318,130,38556
317,130,38686
316,104,38790
315,112,38902
314,115,39017
313,120,39137
312,111,39248
311,112,39360
310,116,39476
309,111,39587
308,106,39693
307,110,39803
306,83,39886
305,105,39991
304,111,40102
303,101,40203
302,81,40284
301,91,40375
300,103,40478
299,96,40574
298,90,40664
297,90,40754
296,98,40852
295,102,40954
294,101,41055
293,91,41146
292,88,41234
291,84,41318
290,81,41399
289,83,41482
288,73,41555
287,81,41636
286,82,41718
285,78,41796
284,75,41871
283,76,41947
282,60,42007
281,71,42078
280,80,42158
279,75,42233
278,57,42290
277,60,42350
276,85,42435
275,56,42491
274,60,42551
273,68,42619
272,58,42677
271,61,42738
270,72,42810
269,48,42858
268,56,42914
267,45,42959
266,62,43021
265,57,43078
264,47,43125
263,58,43183
262,40,43223
261,37,43260
260,45,43305
259,47,43352
258,42,43394
257,47,43441
256,36,43477
255,39,43516
254,44,43560
253,34,43594
252,26,43620
251,31,43651
250,31,43682
249,32,43714
248,27,43741
247,25,43766
246,29,43795
245,29,43824
244,21,43845
243,23,43868
242,29,43897
241,15,43912
240,29,43941
239,25,43966
238,21,43987
237,23,44010
236,17,44027
235,21,44048
234,16,44064
233,17,44081
232,11,44092
231,16,44108
230,23,44131
229,18,44149
228,15,44164
227,19,44183
226,14,44197
225,15,44212
224,15,44227
223,10,44237
222,8,44245
221,11,44256
220,8,44264
219,8,44272
218,14,44286
217,10,44296
216,6,44302
215,11,44313
214,10,44323
213,9,44332
212,6,44338
211,5,44343
210,8,44351
209,3,44354
208,8,44362
207,4,44366
206,4,44370
205,4,44374
204,3,44377
203,5,44382
202,4,44386
201,4,44390
200,2,44392
199,6,44398
198,1,44399
197,6,44405
196,9,44414
195,5,44419
194,7,44426
193,2,44428
192,1,44429
191,4,44433
190,3,44436
189,2,44438
188,4,44442
187,0,44442
186,1,44443
185,0,44443
184,2,44445
183,2,44447
182,3,44450
181,2,44452
180,2,44454
179,2,44456
178,1,44457
177,0,44457
176,2,44459
175,0,44459
174,1,44460
173,2,44462
172,1,44463
171,1,44464
170,2,44466
169,2,44468
168,1,44469
167,1,44470
166,2,44472
165,0,44472
164,1,44473
163,2,44475
162,0,44475
161,1,44476
160,1,44477
159,2,44479
158,2,44481
157,2,44483
156,2,44485
155,0,44485
154,2,44487
153,1,44488
152,1,44489
151,2,44491
150,0,44491
