score,count,cumulative
661,10,10
660,2,12
659,1,13
658,1,14
656,1,15
654,1,16
653,1,17
651,2,19
650,1,20
649,2,22
647,1,23
646,1,24
645,1,25
644,1,26
643,2,28
642,3,31
641,3,34
640,1,35
638,6,41
637,3,44
636,3,47
635,2,49
634,6,55
633,2,57
632,7,64
631,2,66
630,4,70
629,4,74
628,4,78
627,6,84
626,5,89
625,6,95
624,5,100
623,3,103
622,6,109
621,3,112
620,5,117
619,6,123
618,9,132
617,8,140
616,3,143
615,5,148
614,5,153
613,11,164
612,4,168
611,7,175
610,5,180
609,6,186
608,8,194
607,9,203
606,13,216
605,7,223
604,11,234
603,3,237
602,1,238
601,14,252
600,6,258
599,7,265
598,8,273
597,15,288
596,14,302
595,12,314
594,6,320
593,10,330
592,10,340
591,12,352
590,9,361
589,10,371
588,7,378
587,10,388
586,5,393
585,17,410
584,11,421
583,15,436
582,15,451
581,14,465
580,26,491
579,16,507
578,13,520
577,15,535
576,9,544
575,23,567
574,25,592
573,17,609
572,22,631
571,22,653
570,19,672
569,25,697
568,15,712
567,22,734
566,26,760
565,16,776
564,19,795
563,25,820
562,16,836
561,24,860
560,28,888
559,24,912
558,27,939
557,32,971
556,24,995
555,33,1028
554,34,1062
553,28,1090
552,34,1124
551,23,1147
550,33,1180
549,28,1208
548,16,1224
547,38,1262
546,27,1289
545,34,1323
544,37,1360
543,26,1386
542,52,1438
541,39,1477
540,32,1509
539,32,1541
538,34,1575
537,39,1614
536,38,1652
535,45,1697
534,34,1731
533,43,1774
532,33,1807
531,36,1843
530,33,1876
529,46,1922
528,35,1957
527,39,1996
526,40,2036
525,38,2074
524,41,2115
523,42,2157
522,45,2202
521,51,2253
520,58,2311
519,48,2359
518,35,2394
517,56,2450
516,51,2501
515,40,2541
514,42,2583
513,55,2638
512,58,2696
511,48,2744
510,43,2787
509,59,2846
508,68,2914
507,52,2966
506,47,3013
505,49,3062
504,53,3115
503,61,3176
502,50,3226
501,53,3279
500,60,3339
499,55,3394
498,54,3448
497,61,3509
496,66,3575
495,66,3641
494,55,3696
493,61,3757
492,59,3816
491,59,3875
490,55,3930
489,54,3984
488,82,4066
487,81,4147
486,75,4222
485,70,4292
484,72,4364
483,69,4433
482,74,4507
481,89,4596
480,81,4677
479,85,4762
478,73,4835
477,84,4919
476,60,4979
475,56,5035
474,85,5120
473,68,5188
472,76,5264
471,83,5347
470,78,5425
469,97,5522
468,73,5595
467,76,5671
466,93,5764
465,89,5853
464,90,5943
463,74,6017
462,81,6098
461,88,6186
460,90,6276
459,86,6362
458,85,6447
457,88,6535
456,72,6607
455,96,6703
454,82,6785
453,93,6878
452,91,6969
451,88,7057
450,90,7147
449,87,7234
448,89,7323
447,86,7409
446,112,7521
445,89,7610
444,102,7712
443,96,7808
442,124,7932
441,101,8033
440,109,8142
439,89,8231
438,114,8345
437,91,8436
436,110,8546
435,111,8657
434,110,8767
433,112,8879
432,112,8991
431,119,9110
430,108,9218
429,119,9337
428,107,9444
427,109,9553
426,128,9681
425,128,9809
424,124,9933
423,114,10047
