分数,本段人数,累计人数
692,60,60
691,8,68
690,12,80
689,8,88
688,9,97
687,12,109
686,12,121
685,24,145
684,19,164
683,22,186
682,26,212
681,24,236
680,31,267
679,39,306
678,49,355
677,36,391
676,45,436
675,53,489
674,65,554
673,69,623
672,67,690
671,57,747
670,77,824
669,82,906
668,88,994
667,89,1083
666,79,1162
665,114,1276
664,107,1383
663,117,1500
662,122,1622
661,87,1709
660,125,1834
659,138,1972
658,146,2118
657,121,2239
656,146,2385
655,137,2522
654,159,2681
653,170,2851
652,173,3024
651,188,3212
650,201,3413
649,223,3636
648,231,3867
647,235,4102
646,204,4306
645,221,4527
644,218,4745
643,234,4979
642,291,5270
641,261,5531
640,265,5796
639,287,6083
638,315,6398
637,290,6688
636,304,6992
635,281,7273
634,347,7620
633,303,7923
632,349,8272
631,311,8583
630,378,8961
629,378,9339
628,365,9704
627,397,10101
626,385,10486
625,412,10898
624,406,11304
623,412,11716
622,380,12096
621,462,12558
620,421,12979
619,441,13420
618,394,13814
617,478,14292
616,469,14761
615,478,15239
614,500,15739
613,473,16212
612,468,16680
611,559,17239
610,535,17774
609,486,18260
608,544,18804
607,559,19363
606,536,19899
605,585,20484
604,574,21058
603,604,21662
602,573,22235
601,589,22824
600,637,23461
599,622,24083
598,661,24744
597,625,25369
596,596,25965
595,672,26637
594,678,27315
593,681,27996
592,724,28720
591,695,29415
590,692,30107
589,711,30818
588,723,31541
587,733,32274
586,694,32968
585,760,33728
584,727,34455
583,739,35194
582,734,35928
581,744,36672
580,756,37428
579,813,38241
578,755,38996
577,827,39823
576,884,40707
575,851,41558
574,837,42395
573,849,43244
572,902,44146
571,857,45003
570,866,45869
569,897,46766
568,945,47711
567,933,48644
566,949,49593
565,898,50491
564,969,51460
563,983,52443
562,955,53398
561,989,54387
560,1008,55395
559,1028,56423
558,965,57388
557,958,58346
556,1027,59373
555,1001,60374
554,997,61371
553,1083,62454
552,1081,63535
551,1042,64577
550,1061,65638
549,1006,66644
548,969,67613
547,1120,68733
546,1053,69786
545,1057,70843
544,1130,71973
543,1106,73079
542,1136,74215
541,1112,75327
540,1163,76490
539,1199,77689
538,1113,78802
537,1147,79949
536,1207,81156
535,1183,82339
534,1170,83509
533,1171,84680
532,1200,85880
531,1195,87075
530,1222,88297
529,1215,89512
528,1178,90690
527,1271,91961
526,1259,93220
525,1208,94428
524,1310,95738
523,1267,97005
522,1264,98269
521,1236,99505
520,1300,100805
519,1257,102062
518,1289,103351
517,1300,104651
516,1269,105920
515,1315,107235
514,1322,108557
513,1296,109853
512,1264,111117
511,1291,112408
510,1359,113767
509,1367,115134
508,1407,116541
507,1329,117870
506,1291,119161
505,1328,120489
504,1356,121845
503,1355,123200
502,1344,124544
501,1393,125937
500,1385,127322
499,1348,128670
498,1349,130019
497,1322,131341
496,1328,132669
495,1381,134050
494,1423,135473
493,1338,136811
492,1410,138221
491,1317,139538
490,1313,140851
489,1349,142200
488,1391,143591
487,1350,144941
486,1415,146356
485,1405,147761
484,1425,149186
483,1352,150538
482,1345,151883
481,1432,153315
480,1406,154721
479,1356,156077
478,1368,157445
477,1341,158786
476,1382,160168
475,1352,161520
474,1380,162900
473,1365,164265
472,1337,165602
471,1361,166963
470,1308,168271
469,1352,169623
468,1290,170913
467,1296,172209
466,1285,173494
465,1319,174813
464,1294,176107
463,1341,177448
462,1274,178722
461,1286,180008
460,1276,181284
459,1281,182565
458,1277,183842
457,1275,185117
456,1221,186338
455,1230,187568
454,1213,188781
453,1277,190058
452,1171,191229
451,1149,192378
450,1200,193578
449,1166,194744
448,1211,195955
447,1203,197158
446,1172,198330
445,1109,199439
444,1126,200565
443,1129,201694
442,1087,202781
441,1114,203895
440,1056,204951
439,1055,206006
438,1057,207063
437,1107,208170
436,1053,209223
435,1018,210241
434,1013,211254
433,1060,212314
432,1056,213370
431,1047,214417
430,982,215399
429,1011,216410
428,964,217374
427,923,218297
426,958,219255
425,935,220190
424,951,221141
423,909,222050
422,919,222969
421,937,223906
420,895,224801
419,912,225713
418,865,226578
417,886,227464
416,872,228336
415,841,229177
414,848,230025
413,857,230882
412,825,231707
411,816,232523
410,854,233377
409,781,234158
408,784,234942
407,726,235668
406,738,236406
405,736,237142
404,789,237931
403,706,238637
402,694,239331
401,683,240014
400,711,240725
399,696,241421
398,693,242114
397,672,242786
396,700,243486
395,616,244102
394,606,244708
393,610,245318
392,638,245956
391,617,246573
390,616,247189
389,611,247800
388,619,248419
387,604,249023
386,578,249601
385,509,250110
384,570,250680
383,543,251223
382,529,251752
381,527,252279
380,536,252815
379,508,253323
378,538,253861
377,497,254358
376,559,254917
375,533,255450
374,491,255941
373,491,256432
372,436,256868
371,455,257323
370,444,257767
369,424,258191
368,451,258642
367,422,259064
366,433,259497
365,423,259920
364,428,260348
363,410,260758
362,405,261163
361,408,261571
360,449,262020
359,406,262426
358,361,262787
357,370,263157
356,328,263485
355,402,263887
354,402,264289
353,337,264626
352,346,264972
351,345,265317
350,352,265669
349,354,266023
348,346,266369
347,334,266703
346,310,267013
345,334,267347
344,296,267643
343,321,267964
342,304,268268
341,307,268575
340,283,268858
339,276,269134
338,291,269425
337,306,269731
336,308,270039
335,288,270327
334,280,270607
333,308,270915
332,229,271144
331,269,271413
330,253,271666
329,255,271921
328,258,272179
327,274,272453
326,240,272693
325,221,272914
324,240,273154
323,236,273390
322,227,273617
321,219,273836
320,209,274045
319,254,274299
318,224,274523
317,212,274735
316,207,274942
315,211,275153
314,235,275388
313,203,275591
312,197,275788
311,186,275974
310,203,276177
309,166,276343
308,198,276541
307,175,276716
306,169,276885
305,178,277063
304,185,277248
303,177,277425
302,171,277596
301,183,277779
300,153,277932
299,145,278077
298,148,278225
297,179,278404
296,141,278545
295,141,278686
294,135,278821
293,140,278961
292,151,279112
291,134,279246
290,130,279376
289,126,279502
288,124,279626
287,127,279753
286,105,279858
285,119,279977
284,133,280110
283,125,280235
282,133,280368
281,101,280469
280,120,280589
279,128,280717
278,107,280824
277,100,280924
276,92,281016
275,101,281117
274,82,281199
273,103,281302
272,102,281404
271,96,281500
270,84,281584
269,112,281696
