分数,本段人数,累计人数
692,7,54
691,14,68
690,12,80
689,13,93
688,13,106
687,13,119
686,16,135
685,20,155
684,26,181
683,30,211
682,35,246
681,43,289
680,37,326
679,43,369
678,35,404
677,38,442
676,51,493
675,51,544
674,52,596
673,63,659
672,71,730
671,77,807
670,83,890
669,85,975
668,79,1054
667,96,1150
666,112,1262
665,99,1361
664,124,1485
663,108,1593
662,127,1720
661,122,1842
660,123,1965
659,133,2098
658,138,2236
657,150,2386
656,154,2540
655,169,2709
654,175,2884
653,164,3048
652,171,3219
651,217,3436
650,185,3621
649,173,3794
648,211,4005
647,198,4203
646,236,4439
645,234,4673
644,233,4906
643,245,5151
642,250,5401
641,230,5631
640,270,5901
639,272,6173
638,273,6446
637,284,6730
636,281,7011
635,282,7293
634,335,7628
633,315,7943
632,316,8259
631,342,8601
630,420,9021
629,366,9387
628,364,9751
627,425,10176
626,447,10623
625,435,11058
624,388,11446
623,393,11839
622,449,12288
621,465,12753
620,452,13205
619,479,13684
618,475,14159
617,484,14643
616,524,15167
615,563,15730
614,517,16247
613,550,16797
612,561,17358
611,582,17940
610,590,18530
609,602,19132
608,620,19752
607,589,20341
606,617,20958
605,702,21660
604,683,22343
603,667,23010
602,653,23663
601,700,24363
600,698,25061
599,726,25787
598,705,26492
597,737,27229
596,748,27977
595,727,28704
594,845,29549
593,846,30395
592,878,31273
591,850,32123
590,843,32966
589,869,33835
588,881,34716
587,919,35635
586,875,36510
585,989,37499
584,978,38477
583,1016,39493
582,1063,40556
581,1015,41571
580,1074,42645
579,1063,43708
578,1037,44745
577,1094,45839
576,1144,46983
575,1212,48195
574,1116,49311
573,1204,50515
572,1157,51672
571,1227,52899
570,1228,54127
569,1215,55342
568,1256,56598
567,1264,57862
566,1290,59152
565,1285,60437
564,1297,61734
563,1372,63106
562,1465,64571
561,1408,65979
560,1418,67397
559,1496,68893
558,1423,70316
557,1545,71861
556,1543,73404
555,1504,74908
554,1558,76466
553,1608,78074
552,1595,79669
551,1562,81231
550,1697,82928
549,1670,84598
548,1653,86251
547,1667,87918
546,1725,89643
545,1771,91414
544,1839,93253
543,1728,94981
542,1829,96810
541,1811,98621
540,1829,100450
539,1826,102276
538,1878,104154
537,1923,106077
536,1861,107938
535,1876,109814
534,1870,111684
533,1956,113640
532,2001,115641
531,2048,117689
530,2092,119781
529,1990,121771
528,2073,123844
527,2175,126019
526,2069,128088
525,2166,130254
524,2136,132390
523,2206,134596
522,2122,136718
521,2160,138878
520,2104,140982
519,2202,143184
518,2150,145334
517,2251,147585
516,2361,149946
515,2260,152206
514,2243,154449
513,2368,156817
512,2251,159068
511,2266,161334
510,2303,163637
509,2329,165966
508,2283,168249
507,2359,170608
506,2415,173023
505,2426,175449
504,2295,177744
503,2402,180146
502,2456,182602
501,2338,184940
500,2370,187310
499,2447,189757
498,2390,192147
497,2458,194605
496,2398,197003
495,2419,199422
494,2369,201791
493,2599,204390
492,2455,206845
491,2435,209280
490,2466,211746
489,2411,214157
488,2575,216732
487,2481,219213
486,2525,221738
485,2477,224215
484,2429,226644
483,2527,229171
482,2487,231658
481,2572,234230
480,2546,236776
479,2502,239278
478,2536,241814
477,2531,244345
476,2438,246783
475,2502,249285
474,2509,251794
473,2592,254386
472,2512,256898
471,2520,259418
470,2559,261977
469,2488,264465
468,2573,267038
467,2618,269656
466,2507,272163
465,2514,274677
464,2536,277213
463,2666,279879
462,2488,282367
461,2570,284937
460,2484,287421
459,2463,289884
458,2507,292391
457,2449,294840
456,2490,297330
455,2445,299775
454,2455,302230
453,2506,304736
452,2425,307161
451,2469,309630
450,2425,312055
449,2376,314431
448,2423,316854
447,2449,319303
446,2414,321717
445,2440,324157
444,2387,326544
443,2356,328900
442,2340,331240
441,2229,333469
440,2367,335836
439,2455,338291
438,2421,340712
437,2303,343015
436,2278,345293
435,2314,347607
434,2307,349914
433,2297,352211
432,2324,354535
431,2368,356903
430,2262,359165
429,2291,361456
428,2271,363727
427,2256,365983
426,2280,368263
425,2312,370575
424,2190,372765
423,2157,374922
422,2284,377206
421,2275,379481
420,2173,381654
419,2141,383795
418,2183,385978
417,2121,388099
416,2166,390265
415,2123,392388
414,2197,394585
413,2159,396744
412,2204,398948
411,2084,401032
410,2163,403195
409,2185,405380
408,2087,407467
407,2115,409582
406,2097,411679
405,2070,413749
404,2164,415913
403,2092,418005
402,2050,420055
401,2178,422233
400,2086,424319
399,2110,426429
398,1981,428410
397,2101,430511
396,2099,432610
395,2151,434761
394,2051,436812
393,2017,438829
392,2016,440845
391,2020,442865
390,1956,444821
389,2004,446825
388,2035,448860
387,2035,450895
386,2019,452914
385,1949,454863
384,2054,456917
383,1965,458882
382,1969,460851
381,1990,462841
380,2078,464919
379,1976,466895
378,1940,468835
377,1958,470793
376,1993,472786
375,1912,474698
374,1894,476592
373,1903,478495
372,1981,480476
371,1966,482442
370,1971,484413
369,1863,486276
368,1808,488084
367,1954,490038
366,1945,491983
365,1916,493899
364,1832,495731
363,1782,497513
362,1879,499392
361,1881,501273
360,1849,503122
359,1856,504978
358,1841,506819
357,1826,508645
356,1801,510446
355,1813,512259
354,1767,514026
353,1812,515838
352,1835,517673
351,1784,519457
350,1814,521271
349,1805,523076
348,1853,524929
347,1763,526692
346,1737,528429
345,1738,530167
344,1725,531892
343,1734,533626
342,1742,535368
341,1717,537085
340,1724,538809
339,1722,540531
338,1687,542218
337,1696,543914
336,1760,545674
335,1666,547340
334,1667,549007
333,1625,550632
332,1661,552293
331,1639,553932
330,1546,555478
329,1569,557047
328,1528,558575
327,1617,560192
326,1496,561688
325,1578,563266
324,1530,564796
323,1501,566297
322,1544,567841
321,1517,569358
320,1459,570817
319,1581,572398
318,1526,573924
317,1487,575411
316,1478,576889
315,1459,578348
314,1402,579750
313,1498,581248
312,1402,582650
311,1400,584050
310,1390,585440
309,1375,586815
308,1384,588199
307,1403,589602
306,1397,590999
305,1307,592306
304,1289,593595
303,1266,594861
302,1320,596181
301,1220,597401
300,1291,598692
299,1268,599960
298,1297,601257
297,1245,602502
296,1253,603755
295,1271,605026
294,1273,606299
293,1179,607478
292,1175,608653
291,1146,609799
290,1201,611000
289,1115,612115
288,1151,613266
287,1147,614413
286,1085,615498
285,1159,616657
284,1182,617839
283,1074,618913
282,1048,619961
281,1112,621073
280,1067,622140
279,1062,623202
278,1017,624219
277,1052,625271
276,1049,626320
275,1002,627322
274,1010,628332
273,987,629319
